time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-02-11T07:00:00Z,59990,60130,59650,59960,52458.71672638819,0,49470,103432.65
2020-02-12T07:00:00Z,59960,60570,59650,60300,52536.73944552861,0,67694,103711.05
2020-02-13T07:00:00Z,60300,61130,57940,59320,52604.23457542385,0,119201,102512.8
2020-02-16T07:00:00Z,61230,61980,61230,61510,52692.84915676292,0,23612,101705.6
2020-02-17T07:00:00Z,61510,61980,61030,61240,52777.89543381005,0,31853,100423.25
2020-02-18T07:00:00Z,60620,61180,60560,60980,52859.50841456816,0,85007,99184.7
2020-02-19T07:00:00Z,60980,61230,60470,60840,52938.91629104012,0,96976,101216.45
2020-02-20T07:00:00Z,62220,62350,60780,61200,53021.11612894022,0,91324,99701.55
2020-02-23T07:00:00Z,60280,60500,59500,60380,53094.338854025395,0,34488,100480.6
2020-02-24T07:00:00Z,59720,60120,57800,58760,53150.71359179629,0,105496,98164.75
2020-02-25T07:00:00Z,58850,59350,57900,58120,53200.159227698816,0,117444,95879.55
2020-02-26T07:00:00Z,57750,58800,56900,58250,53250.40639956251,0,96471,96613.95
2020-02-27T07:00:00Z,57660,57660,55760,55800,53275.77549011413,0,246874,96944.4
2020-03-01T07:00:00Z,57090,57390,56130,57020,53313.03145538663,0,85653,97289.75
2020-03-03T07:00:00Z,58030,58330,56960,57020,53349.91671453701,0,190456,99886.9
2020-03-04T07:00:00Z,56530,57210,55730,56700,53383.25087658141,0,103019,98855.9
2020-03-05T07:00:00Z,57200,57400,55810,56440,53413.66629074478,0,243889,106395.85
2020-03-08T07:00:00Z,55000,55780,53750,55070,53430.14722317518,0,154991,102837.2
2020-03-09T07:00:00Z,51610,51940,49000,49920,53395.22038513364,0,366142,119407.65
2020-03-11T07:00:00Z,49800,50540,48040,50000,53361.437097719376,0,222148,126610.4
2020-03-12T07:00:00Z,48900,48950,46310,47660,53304.70638032913,0,285552,138414.5
2020-03-15T07:00:00Z,50000,50390,49240,50000,53271.82372977859,0,113621,140710.85
2020-03-16T07:00:00Z,48050,50000,45910,50000,53239.26826978079,0,184211,143961.35
2020-03-17T07:00:00Z,51000,51100,48000,51100,53217.98201834018,0,232558,154408.65
2020-03-18T07:00:00Z,46320,47070,42310,42880,53115.11652562038,0,167420,161187
2020-03-19T07:00:00Z,43890,45670,42450,44700,53031.38402287789,0,236038,168738.55
2020-03-22T07:00:00Z,46000,47450,45400,47450,52975.84786344627,0,99525,168866
2020-03-23T07:00:00Z,46050,49820,45780,49070,52936.98370560104,0,198479,174223.75
2020-03-24T07:00:00Z,50000,54000,50000,52600,52933.630633903515,0,188526,181925.65
2020-03-25T07:00:00Z,53600,54780,53000,53990,52944.14177187462,0,136353,183468.5
2020-03-26T07:00:00Z,53500,54400,52420,54400,52958.62792339826,0,338444,194518.5
2020-03-29T06:00:00Z,53850,54020,53120,53790,52966.90028236942,0,47368,192063.35
2020-03-30T06:00:00Z,54330,54960,53280,54180,52978.97092632594,0,142839,186861.6
2020-03-31T06:00:00Z,52730,53640,51400,52350,52972.71250914857,0,176975,191427.7
2020-04-01T06:00:00Z,50440,51630,50160,51630,52959.352185674456,0,129545,188382.15
2020-04-02T06:00:00Z,51700,55400,51400,52070,52950.50291019511,0,464382,206450.3
2020-04-05T06:00:00Z,51540,51700,50600,50700,52928.10984641207,0,33820,195946.85
2020-04-06T06:00:00Z,52280,54280,52280,54280,52941.56148973136,0,100525,193223.55
2020-04-07T06:00:00Z,55650,56210,54710,55770,52969.7051565002,0,112499,180541.4
2020-04-12T06:00:00Z,56300,56760,55330,55700,52996.87226937084,0,45231,171695.55
2020-04-13T06:00:00Z,55300,56380,54820,55900,53025.75911246168,0,34211,159128.5
2020-04-16T06:00:00Z,58000,58400,56860,57480,53070.07991731281,0,166792,161787.05
2020-04-19T06:00:00Z,60000,60650,59740,60500,53144.009470374374,0,46064,154879.7
2020-04-20T06:00:00Z,59980,60210,58570,59510,53207.35265972388,0,106420,148572.8
2020-04-21T06:00:00Z,59510,59900,57550,58460,53259.61780738832,0,78662,144134.9
2020-04-22T06:00:00Z,57920,58610,57510,57800,53304.79573965311,0,84031,136534.55
2020-04-23T06:00:00Z,58220,59160,58220,58790,53359.37488652224,0,182868,140701.7
2020-04-26T06:00:00Z,57830,57990,57110,57500,53400.57513640759,0,50506,133303.05
2020-04-27T06:00:00Z,57900,59310,57850,59300,53459.27588131896,0,105186,129136.05
2020-04-30T06:00:00Z,60240,60240,58030,58030,53504.755723295886,0,184780,131557.4
2020-05-03T06:00:00Z,57200,57590,57050,57140,53540.927308138715,0,27306,116000.5
2020-05-04T06:00:00Z,57100,57730,56360,57570,53581.017583679626,0,106191,118941.65
2020-05-05T06:00:00Z,57980,58670,57950,58200,53626.97760772261,0,127541,118176.75
2020-05-06T06:00:00Z,59500,60060,59100,59240,53682.8285768,0,101140,114385
2020-05-07T06:00:00Z,59240,60820,59240,60820,53753.84520787661,0,433937,129604.6
2020-05-10T06:00:00Z,62100,62400,61690,61690,53832.8119222261,0,29579,107864.45
2020-05-11T06:00:00Z,61690,62980,61310,62980,53923.82871901987,0,133823,112864.6
2020-05-12T06:00:00Z,61670,62450,61010,61810,54002.29808499977,0,169735,116325.1
2020-05-13T06:00:00Z,61800,62470,61400,61980,54081.678203556985,0,155338,118467.05
2020-05-14T06:00:00Z,59900,60790,56900,58240,54123.05453984,0,136273,123019.15
2020-05-17T06:00:00Z,61100,61660,60980,61660,54198.049022030646,0,34033,123010.25
2020-05-18T06:00:00Z,61850,62740,61750,62040,54276.07838499551,0,105896,119965.45
2020-05-19T06:00:00Z,62150,62720,61100,61900,54351.93830156272,0,69524,121138.45
2020-05-20T06:00:00Z,62200,63070,62010,62730,54435.30209955712,0,64629,119048.9
2020-05-21T06:00:00Z,62520,63100,62020,62850,54519.03043687496,0,68987,118565.15
2020-05-24T06:00:00Z,64130,64360,64050,64190,54615.25898974187,0,31382,115932.7
2020-05-25T06:00:00Z,64450,65120,64360,64990,54718.49024357529,0,48386,109208.6
2020-05-26T06:00:00Z,65490,65770,64620,64710,54817.9082511019,0,55782,109472.4
2020-05-27T06:00:00Z,64880,65360,63350,63350,54902.80468641432,0,140235,111224.85
2020-05-31T06:00:00Z,65000,65100,63900,63900,54992.329017892785,0,71697,105570.7
2020-06-01T06:00:00Z,64400,64600,62500,64060,55082.5545998043,0,217164,115063.6
2020-06-02T06:00:00Z,64200,65720,64050,65720,55188.399827666944,0,106715,115089.8
2020-06-03T06:00:00Z,65630,66620,65620,66440,55300.356048287176,0,60679,111746.7
2020-06-04T06:00:00Z,65110,65230,64200,64880,55395.675888602724,0,120676,112723.5
2020-06-08T06:00:00Z,63900,64370,63200,63230,55473.62936234797,0,87479,95400.6
2020-06-09T06:00:00Z,64250,64560,63830,64090,55559.364393568394,0,71374,97490.35
2020-06-10T06:00:00Z,64800,66000,64670,64690,55650.21648915478,0,114564,96527.4
2020-06-11T06:00:00Z,64500,65750,63840,65160,55744.84120070548,0,176169,96849.1
2020-06-14T06:00:00Z,64700,65100,63600,64370,55830.66367632035,0,29336,90549
2020-06-15T06:00:00Z,63180,65380,63050,64440,55916.328714366915,0,115180,89494.35
2020-06-16T06:00:00Z,65730,67560,65730,66960,56026.21599084088,0,161810,95883.2
2020-06-17T06:00:00Z,67130,67820,66570,66570,56131.12926456385,0,78869,94531.85
2020-06-18T06:00:00Z,66860,66860,64950,65930,56228.630465911476,0,274956,104803.45
2020-06-21T06:00:00Z,65950,66510,65190,65950,56325.36051102678,0,48086,103976.3
2020-06-22T06:00:00Z,66190,67530,66190,67530,56436.84946116582,0,132896,107171.75
2020-06-23T06:00:00Z,67330,68670,67110,68020,56552.10469040795,0,112019,111203.6
2020-06-24T06:00:00Z,68020,68020,66450,66840,56654.47180791633,0,110758,114322.2
2020-06-25T06:00:00Z,66450,67150,65800,66690,56754.327809827606,0,124131,117739.65
2020-06-28T06:00:00Z,64850,64850,63740,64280,56829.21012017758,0,36620,112558.9
2020-06-29T06:00:00Z,64510,65200,63840,64450,56905.03887520069,0,101587,114053.4
2020-06-30T06:00:00Z,64030,64830,63610,64490,56980.5111251987,0,107558,108573.1
2020-07-01T06:00:00Z,65090,66040,64300,65860,57068.86424833105,0,85785,107526.6
2020-07-02T06:00:00Z,65460,65750,64800,65110,57148.87554934268,0,188204,113902.85
2020-07-05T06:00:00Z,65110,65110,63810,64100,57218.04096676216,0,13787,108558.4
2020-07-06T06:00:00Z,64600,65650,64600,65400,57299.453494456066,0,64463,107407.6
