time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-02-11T07:00:00Z,2839,2868,2835,2844,2737.952930608056,0,1647629,2625627.1
2020-02-12T07:00:00Z,2842,2854,2808,2809,2738.659866621906,0,2669689,2655380.55
2020-02-13T07:00:00Z,2797,2840,2786,2836,2739.628425162982,0,2847695,2698984.9
2020-02-16T07:00:00Z,2853,2876,2846,2859,2740.8162020270315,0,587094,2689922
2020-02-17T07:00:00Z,2877,2894,2852,2858,2741.982209967061,0,1252353,2668639.8
2020-02-18T07:00:00Z,2827,2839,2820,2828,2742.838108375349,0,1082295,2619175.8
2020-02-19T07:00:00Z,2840,2888,2838,2888,2744.2825053069373,0,2202282,2619857.55
2020-02-20T07:00:00Z,2888,2888,2844,2860,2745.43392316458,0,1347293,2549093.8
2020-02-23T07:00:00Z,2800,2826,2771,2815,2746.1261229340867,0,1290834,2577485.4
2020-02-24T07:00:00Z,2775,2790,2732,2781,2746.4731266859862,0,2382585,2565907.05
2020-02-25T07:00:00Z,2815,2815,2764,2784,2746.8465284105037,0,1819863,2541192.6
2020-02-26T07:00:00Z,2767,2830,2748,2810,2747.474921162638,0,2509561,2541787.25
2020-02-27T07:00:00Z,2782,2793,2702,2727,2747.2711906038057,0,12645276,2704854.7
2020-03-01T07:00:00Z,2686,2706,2646,2662,2746.422721045559,0,2738705,2731153.8
2020-03-03T07:00:00Z,2769,2783,2662,2662,2745.5826939704784,0,4189017,2711638.05
2020-03-04T07:00:00Z,2725,2744,2625,2677,2744.9002791051007,0,4551406,2810731.4
2020-03-05T07:00:00Z,2644,2647,2460,2565,2743.1102265766917,0,5623859,2990853.8
2020-03-08T07:00:00Z,2395,2487,2361,2400,2739.6961944714512,0,6550874,3041757.35
2020-03-09T07:00:00Z,2232,2348,2186,2281,2735.132053232929,0,8416602,3436475.3
2020-03-11T07:00:00Z,2230,2331,2137,2185,2729.658102454492,0,7371799,3686335.55
2020-03-12T07:00:00Z,2054,2195,1963,2137,2723.7610069076813,0,12193248,4213616.5
2020-03-15T07:00:00Z,2144,2169,2029,2102,2717.5743302220326,0,3760243,4268144.2
2020-03-16T07:00:00Z,2000,2017,1893,1976,2710.195481165097,0,5891834,4420351.15
2020-03-17T07:00:00Z,2050,2050,1890,1935,2702.482093292808,0,7737401,4777866.5
2020-03-18T07:00:00Z,1870,1897,1850,1879,2694.2882416182524,0,5666479,4998572.8
2020-03-19T07:00:00Z,1890,2038,1862,1994,2687.3201994130955,0,8325944,5360755.25
2020-03-22T07:00:00Z,1894,1912,1810,1830,2678.789650165204,0,3231006,5412191.45
2020-03-23T07:00:00Z,1753,1871,1686,1777,2669.8166188202767,0,7993880,5744520.8
2020-03-24T07:00:00Z,1850,1987,1832,1963,2662.7836176379856,0,7499659,6054962.05
2020-03-25T07:00:00Z,2020,2043,1917,1939,2655.5817905968115,0,3657762,6118720.9
2020-03-26T07:00:00Z,1855,2010,1855,1978,2648.839683227689,0,11977697,6626612.6
2020-03-29T06:00:00Z,1950,2049,1918,2015,2642.5328207080106,0,2485790,6625424.05
2020-03-30T06:00:00Z,2044,2136,2030,2080,2636.935479208428,0,5192338,6252777.15
2020-03-31T06:00:00Z,2120,2172,2101,2131,2631.9012953357073,0,6357717,6433727.75
2020-04-01T06:00:00Z,2069,2122,1994,2006,2625.6734217502776,0,4897694,6469161.6
2020-04-02T06:00:00Z,2006,2026,1980,1992,2619.368213573658,0,9578109,6720496.75
2020-04-05T06:00:00Z,1990,2010,1909,1909,2612.2998731400894,0,2465096,6562558.6
2020-04-06T06:00:00Z,1960,1993,1919,1980,2606.00833211382,0,6233019,6546665.85
2020-04-07T06:00:00Z,2038,2058,2026,2040,2600.376408411195,0,6162702,6433970.85
2020-04-12T06:00:00Z,2100,2112,2069,2085,2595.248284944417,0,2691191,6199940.45
2020-04-13T06:00:00Z,2095,2107,2030,2040,2589.723426387756,0,2947980,5737677.05
2020-04-16T06:00:00Z,2055,2066,1975,1987,2583.726178363997,0,5864123,5842871.05
2020-04-19T06:00:00Z,2066,2140,2066,2130,2579.2114900220668,0,3887168,5742637.75
2020-04-20T06:00:00Z,2110,2119,2065,2099,2574.433266240753,0,5713820,5641458.7
2020-04-21T06:00:00Z,2090,2090,2020,2069,2569.404079511989,0,4678360,5592052.75
2020-04-22T06:00:00Z,2065,2114,2062,2079,2564.52443692978,0,4446173,5398064.2
2020-04-23T06:00:00Z,2150,2174,2129,2152,2560.4197161643096,0,14844577,5978742.75
2020-04-26T06:00:00Z,2200,2308,2194,2300,2557.828475207451,0,3018006,5729949.05
2020-04-27T06:00:00Z,2300,2318,2243,2243,2554.695853563596,0,5014617,5605696.95
2020-04-30T06:00:00Z,2318,2323,2248,2248,2551.6441535281374,0,6724135,5759015.6
2020-05-03T06:00:00Z,2220,2288,2205,2275,2548.891475383579,0,3329228,5326592.15
2020-05-04T06:00:00Z,2298,2298,2186,2205,2545.469669658369,0,4902660,5447435.65
2020-05-05T06:00:00Z,2245,2257,2217,2235,2542.3804192140074,0,3529766,5364307.05
2020-05-06T06:00:00Z,2235,2274,2227,2231,2539.282106585012,0,3776634,5235252.9
2020-05-07T06:00:00Z,2240,2257,2224,2256,2536.4633791563056,0,12967516,5638744
2020-05-10T06:00:00Z,2288,2301,2251,2301,2534.1204599607204,0,2499041,5284790.6
2020-05-11T06:00:00Z,2305,2314,2230,2242,2531.2137887173303,0,4798048,5401438.2
2020-05-12T06:00:00Z,2224,2240,2168,2168,2527.599721167904,0,4867556,5333165.05
2020-05-13T06:00:00Z,2158,2161,2054,2070,2523.046490111507,0,6501099,5350084.9
2020-05-14T06:00:00Z,2030,2059,1992,2006,2517.9017489163675,0,5916624,5511356.55
2020-05-17T06:00:00Z,2060,2089,2060,2084,2513.5843185788913,0,1914753,5459695.2
2020-05-18T06:00:00Z,2090,2181,2089,2150,2509.966564165171,0,2826206,5307799.35
2020-05-19T06:00:00Z,2176,2197,2141,2188,2506.7629167605423,0,2561396,5241510.75
2020-05-20T06:00:00Z,2195,2242,2175,2242,2504.1284598773527,0,2414353,5076537.4
2020-05-21T06:00:00Z,2229,2230,2162,2168,2500.7838980875285,0,2300776,4957658.2
2020-05-24T06:00:00Z,2168,2195,2168,2182,2497.6119190020804,0,803321,4775515.6
2020-05-25T06:00:00Z,2191,2198,2170,2180,2494.4516014000696,0,1523450,4109459.25
2020-05-26T06:00:00Z,2199,2199,2152,2158,2491.103824271711,0,3017172,4109417.55
2020-05-27T06:00:00Z,2171,2187,2147,2151,2487.719706617266,0,6327170,4175045.2
2020-05-31T06:00:00Z,2122,2128,2082,2087,2483.732445854905,0,1895604,3933618.65
2020-06-01T06:00:00Z,2022,2107,2020,2106,2479.973914055354,0,5504250,4042369.75
2020-06-02T06:00:00Z,2118,2121,2084,2095,2476.143327845848,0,2264904,3910481.95
2020-06-03T06:00:00Z,2112,2139,2099,2139,2472.7886678672826,0,1980493,3833018.3
2020-06-04T06:00:00Z,2121,2147,2120,2135,2469.427586594971,0,5136422,3901007.7
2020-06-08T06:00:00Z,2175,2225,2171,2200,2466.7467150865637,0,4272024,3466233.1
2020-06-09T06:00:00Z,2200,2235,2192,2235,2464.440777623016,0,3575349,3520048.5
2020-06-10T06:00:00Z,2239,2243,2202,2239,2462.1975858058713,0,2432790,3401785.6
2020-06-11T06:00:00Z,2213,2213,2149,2187,2459.459301369992,0,2671997,3292007.65
2020-06-14T06:00:00Z,2150,2182,2111,2180,2456.6786118041214,0,1443303,3039117.85
2020-06-15T06:00:00Z,2115,2178,2115,2164,2453.7663868110453,0,2197982,2853185.75
2020-06-16T06:00:00Z,2196,2204,2189,2189,2451.1318953999903,0,2605289,2887712.55
2020-06-17T06:00:00Z,2180,2187,2140,2153,2448.165408878597,0,1990694,2845936.95
2020-06-18T06:00:00Z,2152,2160,2103,2106,2444.760777944482,0,4005870,2918160.65
2020-06-21T06:00:00Z,2071,2085,2041,2079,2441.1213672186664,0,1872702,2891078.1
2020-06-22T06:00:00Z,2095,2096,1998,2025,2436.9808561020627,0,5060158,3029047.2
2020-06-23T06:00:00Z,2026,2036,2004,2018,2432.8118923597535,0,4718419,3224802.1
2020-06-24T06:00:00Z,2018,2077,2001,2018,2428.6844108437363,0,4523065,3374782.85
2020-06-25T06:00:00Z,2038,2132,2004,2125,2425.6626754124554,0,6632676,3555558.05
2020-06-28T06:00:00Z,2081,2091,2063,2065,2422.073992075018,0,983103,3288354.7
2020-06-29T06:00:00Z,2070,2100,2045,2089,2418.7598229996447,0,2602129,3323680.95
2020-06-30T06:00:00Z,2090,2096,2036,2058,2415.1701730195487,0,2973336,3197135.25
2020-07-01T06:00:00Z,2066,2149,2063,2146,2412.4918628402497,0,3290793,3248429.7
2020-07-02T06:00:00Z,2193,2199,2154,2190,2410.2780134587547,0,8498349,3574322.5
2020-07-05T06:00:00Z,2140,2140,2080,2105,2407.2404212850356,0,1940054,3414504.1
2020-07-06T06:00:00Z,2120,2181,2087,2170,2404.8798200782194,0,6169529,3509379.35
2020-07-07T06:00:00Z,2198,2199,2107,2136,2402.2043989829135,0,5807436,3620983.7
2020-07-08T06:00:00Z,2120,2120,2073,2115,2399.346643769153,0,3933560,3696022.2
2020-07-09T06:00:00Z,2114,2114,2065,2071,2396.0795129853805,0,3371647,3731004.7
2020-07-12T06:00:00Z,2094,2133,2070,2105,2393.183199423337,0,1920175,3754848.3
2020-07-13T06:00:00Z,2105,2122,2080,2080,2390.0669486828065,0,2383478,3764123.1
2020-07-14T06:00:00Z,2069,2069,2025,2039,2386.5737452133258,0,2830771,3775397.2
2020-07-15T06:00:00Z,2070,2077,2040,2057,2383.2944044649344,0,4130899,3882407.45
2020-07-16T06:00:00Z,2043,2052,2024,2025,2379.729286012547,0,3444176,3854322.75
2020-07-19T06:00:00Z,2025,2038,2010,2015,2376.100138888044,0,812256,3801300.45
2020-07-20T06:00:00Z,2015,2024,2003,2021,2372.56680417274,0,3108119,3703698.5
