time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-02-11T07:00:00Z,2659,2698,2637,2670,1831.6905923705137,0,718806,783650.3
2020-02-12T07:00:00Z,2665,2686,2630,2654,1839.872775531006,0,567611,766701
2020-02-13T07:00:00Z,2650,2660,2590,2624,1847.675036470996,0,474140,768241.25
2020-02-16T07:00:00Z,2630,2668,2630,2656,1855.7180709339711,0,185165,761253.3
2020-02-17T07:00:00Z,2679,2696,2638,2639,1863.5119209744291,0,301940,739061.6
2020-02-18T07:00:00Z,2620,2670,2593,2626,1871.098867034385,0,174486,736528.8
2020-02-19T07:00:00Z,2630,2650,2592,2628,1878.6302215912567,0,348666,687844.25
2020-02-20T07:00:00Z,2620,2643,2583,2593,1885.7383785903487,0,295243,654835.1
2020-02-23T07:00:00Z,2569,2569,2435,2485,1891.7011807934298,0,524203,665691.55
2020-02-24T07:00:00Z,2435,2477,2380,2465,1897.4056466561817,0,1129646,681268.15
2020-02-25T07:00:00Z,2520,2537,2415,2465,1903.053351664578,0,618531,690430.35
2020-02-26T07:00:00Z,2426,2525,2400,2499,1908.9831690609503,0,535217,664812.5
2020-02-27T07:00:00Z,2480,2480,2439,2445,1914.316669866314,0,1616644,688232.6
2020-03-01T07:00:00Z,2385,2490,2307,2445,1919.5971010119229,0,634914,689710.9
2020-03-03T07:00:00Z,2490,2574,2466,2482,1925.1931497580729,0,718329,688265.55
2020-03-04T07:00:00Z,2482,2488,2402,2421,1930.1265512530174,0,278960,668196.05
2020-03-05T07:00:00Z,2428,2444,2320,2358,1934.3839985042312,0,932336,675149.9
2020-03-08T07:00:00Z,2201,2353,2100,2250,1937.5244562305572,0,1058340,598585.45
2020-03-09T07:00:00Z,2100,2245,1908,2100,1939.141128307865,0,1815262,668797.4
2020-03-11T07:00:00Z,2142,2160,2012,2012,1939.8660922052993,0,772013,685022.6
2020-03-12T07:00:00Z,1871,1959,1810,1871,1939.180857456988,0,1967145,747439.55
2020-03-15T07:00:00Z,1871,2143,1812,1940,1939.1890081290578,0,399561,739037.05
2020-03-16T07:00:00Z,1860,1940,1765,1940,1939.197077699913,0,1253762,778018.15
2020-03-17T07:00:00Z,1905,1939,1781,1801,1937.8219823994164,0,837832,810651.5
2020-03-18T07:00:00Z,1751,1871,1691,1838,1936.8287288432032,0,1083963,849752.65
2020-03-19T07:00:00Z,1841,1952,1841,1890,1936.362771342276,0,1124331,897244.9
2020-03-22T07:00:00Z,1890,1970,1865,1910,1936.100455209517,0,527332,906178.2
2020-03-23T07:00:00Z,1891,2150,1867,1931,1936.0497044114122,0,795346,931183.35
2020-03-24T07:00:00Z,2059,2155,2017,2120,1937.8800556112988,0,418200,925883.2
2020-03-25T07:00:00Z,2204,2291,2013,2101,1939.5031396350669,0,1511726,944987.2
2020-03-26T07:00:00Z,2086,2155,2037,2127,1941.368780036708,0,2546618,1041391.55
2020-03-29T06:00:00Z,2100,2118,2021,2092,1942.8675981457955,0,222968,1025779.1
2020-03-30T06:00:00Z,2092,2139,2077,2135,1944.7793633383747,0,441649,967029.35
2020-03-31T06:00:00Z,2206,2293,2177,2269,1948.0054393250575,0,1027923,986679.8
2020-04-01T06:00:00Z,2232,2318,2210,2286,1951.3685692820222,0,408553,971191
2020-04-02T06:00:00Z,2317,2395,2281,2320,1955.036543717027,0,1031199,1008802.95
2020-04-05T06:00:00Z,2320,2368,2256,2266,1958.1307074611361,0,235533,973962.8
2020-04-06T06:00:00Z,2330,2394,2280,2394,1962.467715347095,0,472084,944650
2020-04-07T06:00:00Z,2430,2510,2410,2496,1967.7764942988651,0,758708,891822.3
2020-04-12T06:00:00Z,2546,2547,2360,2400,1972.0772256988764,0,550325,880737.9
2020-04-13T06:00:00Z,2330,2373,2302,2310,1975.4396413635643,0,192915,792026.4
2020-04-16T06:00:00Z,2380,2380,2256,2280,1978.47009269328,0,513588,797727.75
2020-04-19T06:00:00Z,2340,2351,2256,2275,1981.4206390346405,0,461435,758111.4
2020-04-20T06:00:00Z,2260,2260,2197,2250,1984.0930704870323,0,593758,745907.7
2020-04-21T06:00:00Z,2222,2235,2148,2186,1986.1020946612907,0,483280,715873.55
2020-04-22T06:00:00Z,2220,2220,2100,2130,1987.5339146149097,0,516890,685501.5
2020-04-23T06:00:00Z,2153,2250,2153,2250,1990.1455174545624,0,1340063,726138.05
2020-04-26T06:00:00Z,2275,2361,2270,2325,1993.4774028530244,0,400947,706418.1
2020-04-27T06:00:00Z,2376,2376,2240,2354,1997.064692376875,0,512032,711109.7
2020-04-30T06:00:00Z,2450,2479,2393,2444,2001.5118098656624,0,632488,667147.8
2020-05-03T06:00:00Z,2400,2410,2355,2386,2005.3375630013275,0,210745,550354.15
2020-05-04T06:00:00Z,2350,2392,2335,2382,2009.085447946588,0,360137,557212.6
2020-05-05T06:00:00Z,2385,2425,2345,2425,2013.2239012008508,0,234620,546861.15
2020-05-06T06:00:00Z,2448,2475,2386,2405,2017.1221708406433,0,224302,506680.1
2020-05-07T06:00:00Z,2402,2454,2314,2385,2020.7826467526768,0,914133,531959.1
2020-05-10T06:00:00Z,2409,2426,2370,2379,2024.346998526282,0,220922,491445.25
2020-05-11T06:00:00Z,2390,2399,2345,2382,2027.905734859354,0,312974,495317.3
2020-05-12T06:00:00Z,2358,2389,2340,2388,2031.4887623731913,0,517559,497591.05
2020-05-13T06:00:00Z,2388,2434,2332,2434,2035.4938493147515,0,364629,477887.1
2020-05-14T06:00:00Z,2403,2416,2333,2362,2038.7426667345053,0,444437,472592.7
2020-05-17T06:00:00Z,2400,2432,2370,2432,2042.6556750257043,0,159846,470939.25
2020-05-18T06:00:00Z,2480,2480,2376,2376,2045.9725339806726,0,223817,456450.7
2020-05-19T06:00:00Z,2376,2385,2337,2359,2049.0872351350936,0,231409,444949.4
2020-05-20T06:00:00Z,2340,2362,2324,2345,2052.0316407556397,0,178448,424183.9
2020-05-21T06:00:00Z,2333,2333,2251,2273,2054.2303308973746,0,341917,417115.75
2020-05-24T06:00:00Z,2273,2318,2207,2249,2056.1683375551124,0,180985,400320.5
2020-05-25T06:00:00Z,2246,2257,2203,2217,2057.7686526043153,0,249088,345771.75
2020-05-26T06:00:00Z,2246,2288,2218,2250,2059.6814023296456,0,288365,340142.65
2020-05-27T06:00:00Z,2240,2255,2180,2255,2061.6248709631814,0,681559,348619
2020-05-31T06:00:00Z,2203,2232,2162,2170,2062.703230456085,0,285413,331265.25
2020-06-01T06:00:00Z,2170,2248,2170,2182,2063.8902629888603,0,275146,334485.3
2020-06-02T06:00:00Z,2170,2236,2170,2220,2065.443593705389,0,347263,333841.6
2020-06-03T06:00:00Z,2220,2220,2200,2219,2066.9715181461315,0,190818,331651.5
2020-06-04T06:00:00Z,2193,2220,2159,2194,2068.2354831397024,0,524795,346676.15
2020-06-08T06:00:00Z,2194,2214,2164,2197,2069.5167221134366,0,349522,318445.6
2020-06-09T06:00:00Z,2190,2230,2170,2230,2071.113570649621,0,383562,326577.6
2020-06-10T06:00:00Z,2248,2311,2192,2275,2073.1422913396746,0,238651,322861.45
2020-06-11T06:00:00Z,2284,2349,2235,2309,2075.4891342119167,0,366496,315308.3
2020-06-14T06:00:00Z,2302,2347,2250,2265,2077.3748144685146,0,131708,303662.25
2020-06-15T06:00:00Z,2220,2252,2160,2252,2079.112378503654,0,381101,300495.45
2020-06-16T06:00:00Z,2260,2358,2260,2340,2081.7082752349606,0,376565,311331.4
2020-06-17T06:00:00Z,2353,2360,2309,2314,2084.019635680384,0,481587,324219.9
2020-06-18T06:00:00Z,2308,2310,2260,2307,2086.2383457731166,0,653736,345336.25
2020-06-21T06:00:00Z,2240,2333,2157,2283,2088.1961731783595,0,370358,354931.75
2020-06-22T06:00:00Z,2261,2290,2229,2262,2089.9255644900177,0,221677,348919.75
2020-06-23T06:00:00Z,2230,2269,2174,2208,2091.100434495092,0,382069,358973.95
2020-06-24T06:00:00Z,2222,2222,2106,2107,2091.2586391269815,0,378169,365428
2020-06-25T06:00:00Z,2130,2231,2086,2205,2092.390393961539,0,619308,381975.15
2020-06-28T06:00:00Z,2161,2168,2061,2064,2092.1079024793344,0,134899,354642.15
2020-06-29T06:00:00Z,2081,2118,2064,2064,2091.8282218576496,0,220482,351395.6
2020-06-30T06:00:00Z,2064,2110,2043,2101,2091.919483331703,0,352438,355260.2
2020-07-01T06:00:00Z,2101,2130,1960,2026,2091.263568074671,0,777283,376761.2
2020-07-02T06:00:00Z,2038,2148,2026,2122,2091.569403218207,0,372785,385859.55
2020-07-05T06:00:00Z,2066,2127,2028,2039,2091.04632457922,0,318088,375524.2
2020-07-06T06:00:00Z,2030,2140,2030,2108,2091.2150178669885,0,415083,378802.25
2020-07-07T06:00:00Z,2130,2240,2062,2200,2092.297455500153,0,292179,374233.1
2020-07-08T06:00:00Z,2200,2270,2150,2165,2093.0208639031366,0,307526,377676.85
2020-07-09T06:00:00Z,2166,2223,2153,2160,2093.687322968777,0,191352,368919.65
2020-07-12T06:00:00Z,2179,2239,2132,2180,2094.546155576053,0,205718,372620.15
2020-07-13T06:00:00Z,2217,2290,2139,2232,2095.91385552057,0,366035,371866.85
2020-07-14T06:00:00Z,2231,2298,2199,2271,2097.6560062119074,0,224722,364274.7
2020-07-15T06:00:00Z,2271,2322,2261,2314,2099.8086827670127,0,291221,354756.4
2020-07-16T06:00:00Z,2293,2293,2222,2222,2101.024516769331,0,303440,337241.6
2020-07-19T06:00:00Z,2229,2268,2200,2262,2102.626262871129,0,130377,325242.55
2020-07-20T06:00:00Z,2263,2370,2226,2353,2105.1175438375853,0,259761,327146.75
2020-07-21T06:00:00Z,2389,2520,2389,2502,2109.0666230033803,0,399364,328011.5
2020-07-22T06:00:00Z,2460,2550,2435,2503,2112.986358097874,0,326827,325444.4
2020-07-23T06:00:00Z,2560,2560,2471,2524,2117.076046077,0,469472,317952.6
2020-07-26T06:00:00Z,2519,2544,2463,2488,2120.766831688174,0,121414,317278.35
2020-07-27T06:00:00Z,2502,2543,2475,2487,2124.410942815655,0,289854,320746.95
2020-07-28T06:00:00Z,2494,2511,2460,2465,2127.799888658285,0,191743,312712.2
2020-07-29T06:00:00Z,2520,2553,2492,2530,2131.801879815914,0,839212,315808.65
2020-08-02T06:00:00Z,2532,2564,2500,2537,2135.8337019072983,0,148020,304570.4
2020-08-03T06:00:00Z,2537,2562,2481,2490,2139.35774467439,0,236649,300498.45
2020-08-04T06:00:00Z,2490,2514,2425,2485,2142.79697109554,0,385075,298998.05
2020-08-05T06:00:00Z,2485,2510,2450,2492,2146.271628099564,0,464827,307630.45
2020-08-06T06:00:00Z,2503,2503,2396,2396,2148.756487521459,0,1438082,364158.25
2020-08-09T06:00:00Z,2415,2442,2394,2420,2151.455427944131,0,191449,364163.1
2020-08-10T06:00:00Z,2420,2420,2350,2415,2154.077761994438,0,171559,362455.15
2020-08-11T06:00:00Z,2420,2450,2350,2359,2156.116789238274,0,272592,357783
2020-08-12T06:00:00Z,2350,2439,2350,2430,2158.8419953155053,0,208514,356972.6
2020-08-13T06:00:00Z,2448,2456,2430,2439,2161.629637153162,0,190723,351947.7
2020-08-16T06:00:00Z,2481,2494,2469,2474,2164.7377999675587,0,76701,340610.75
2020-08-17T06:00:00Z,2495,2514,2390,2390,2166.9792148932547,0,437788,355981.3
2020-08-18T06:00:00Z,2407,2419,2325,2335,2168.651063501282,0,264187,356202.6
2020-08-19T06:00:00Z,2335,2377,2300,2300,2169.958018093309,0,166523,344560.55
2020-08-20T06:00:00Z,2274,2298,2234,2268,2170.933560201833,0,212172,338827.8
2020-08-23T06:00:00Z,2289,2379,2272,2369,2172.9043705480835,0,261914,328449.9
2020-08-24T06:00:00Z,2400,2420,2360,2393,2175.0943768112866,0,253201,335039.25
2020-08-25T06:00:00Z,2389,2423,2351,2391,2177.242691469881,0,599729,350533
2020-08-26T06:00:00Z,2368,2431,2368,2431,2179.767639813464,0,124129,347152.3
2020-08-27T06:00:00Z,2445,2445,2380,2396,2181.9192055864646,0,408350,325609.2
2020-08-30T06:00:00Z,2380,2420,2356,2386,2183.949860257246,0,88734,322644.9
2020-08-31T06:00:00Z,2386,2393,2342,2345,2185.5523492099105,0,358982,328761.55
2020-09-01T06:00:00Z,2345,2372,2312,2340,2187.0891417550856,0,239520,321483.8
2020-09-02T06:00:00Z,2352,2386,2326,2358,2188.7897473097614,0,268620,311673.45
2020-09-03T06:00:00Z,2340,2351,2315,2315,2190.0455707196147,0,851298,282334.25
2020-09-06T06:00:00Z,2300,2337,2260,2328,2191.418251607977,0,285211,287022.35
2020-09-07T06:00:00Z,2325,2347,2280,2314,2192.6379704974497,0,380823,297485.55
2020-09-08T06:00:00Z,2351,2351,2271,2317,2193.8754036268283,0,308226,299267.25
2020-09-09T06:00:00Z,2301,2384,2300,2347,2195.399031451437,0,260851,301884.1
2020-09-10T06:00:00Z,2316,2350,2271,2314,2196.5791405912237,0,348888,309792.35
2020-09-13T06:00:00Z,2314,2398,2261,2398,2198.5833282470326,0,114445,311679.55
2020-09-14T06:00:00Z,2400,2419,2342,2360,2200.1894642843754,0,262690,302924.65
2020-09-15T06:00:00Z,2341,2394,2341,2381,2201.988574092491,0,201143,299772.45
2020-09-16T06:00:00Z,2353,2420,2345,2345,2203.411573355252,0,104298,296661.2
2020-09-17T06:00:00Z,2315,2342,2275,2320,2204.5716572024635,0,445358,308320.5
2020-09-21T06:00:00Z,2313,2313,2253,2284,2205.3619889715933,0,410575,315753.55
2020-09-22T06:00:00Z,2270,2305,2240,2255,2205.85589952909,0,202026,313194.8
2020-09-23T06:00:00Z,2240,2293,2210,2240,2206.195641822333,0,480905,307253.6
