time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-02-11T07:00:00Z,4268,4317,4223,4300,3792.755269998541,0,1374720,1817138.95
2020-02-12T07:00:00Z,4246,4709,4100,4645,3801.235317063232,0,3706503,1874205.6
2020-02-13T07:00:00Z,4635,4643,4425,4433,3807.5215328138465,0,2643410,1889102.95
2020-02-16T07:00:00Z,4214,4270,4210,4215,3811.5760449251516,0,723986,1898324.5
2020-02-17T07:00:00Z,4215,4246,4194,4206,3815.500661393558,0,596846,1892336.3
2020-02-18T07:00:00Z,4160,4211,4102,4145,3818.779261777702,0,942762,1861543.45
2020-02-19T07:00:00Z,4221,4434,4220,4430,3824.8610601679734,0,2368353,1932865.7
2020-02-20T07:00:00Z,4475,4585,4455,4560,3832.175875489685,0,2802768,1993087.4
2020-02-23T07:00:00Z,4441,4468,4415,4431,3838.1343244897876,0,864890,2017993.15
2020-02-24T07:00:00Z,4416,4440,4230,4405,3843.7747789724763,0,2454313,2059619.75
2020-02-25T07:00:00Z,4421,4645,4321,4553,3850.8317463458843,0,2845213,2136904.55
2020-02-26T07:00:00Z,4555,4644,4412,4473,3857.022475237965,0,2371750,2109914.85
2020-02-27T07:00:00Z,4482,4490,4170,4205,3860.4849381709205,0,3230932,2113471.4
2020-03-01T07:00:00Z,4037,4069,3982,4005,3861.9228989851404,0,1445259,2136576.45
2020-03-03T07:00:00Z,4062,4150,4005,4005,3863.3465517315567,0,2460367,2115400.7
2020-03-04T07:00:00Z,3915,3995,3801,3893,3863.6416109183074,0,2387396,2062091.45
2020-03-05T07:00:00Z,3875,3888,3748,3780,3862.8093560832995,0,7934559,2343275.65
2020-03-08T07:00:00Z,3542,3600,3501,3501,3859.2092629879435,0,1770069,2234800.65
2020-03-09T07:00:00Z,3300,3448,2895,3166,3852.3116583810984,0,3987620,2415521.55
2020-03-11T07:00:00Z,3239,3366,3189,3247,3846.288656805167,0,3058419,2498506.75
2020-03-12T07:00:00Z,3068,3120,2850,2969,3837.5594164389468,0,4277966,2643669.05
2020-03-15T07:00:00Z,3009,3099,2973,3099,3830.2105665241315,0,798499,2498268.85
2020-03-16T07:00:00Z,2930,3000,2700,2882,3820.7756355139413,0,2823910,2507293.85
2020-03-17T07:00:00Z,2900,2930,2697,2870,3811.3151814292255,0,3551332,2648661.15
2020-03-18T07:00:00Z,2740,2776,2514,2547,3798.734930867741,0,2365441,2737090.9
2020-03-19T07:00:00Z,2511,2598,2430,2533,3786.1405534461715,0,4620223,2920963.95
2020-03-22T07:00:00Z,2609,2750,2565,2750,3775.8306971929755,0,1681763,2886634.45
2020-03-23T07:00:00Z,2726,2892,2680,2830,3766.4194464746374,0,3437807,2918386.4
2020-03-24T07:00:00Z,2915,3024,2855,2920,3757.9973624301138,0,3242903,3037287.05
2020-03-25T07:00:00Z,2975,2997,2768,2864,3749.1018662865304,0,2555918,3042367.3
2020-03-26T07:00:00Z,2850,2972,2778,2964,3741.2899074180077,0,4934657,3146839.5
2020-03-29T06:00:00Z,2720,2777,2720,2740,3731.3268237621073,0,932646,3074884.3
2020-03-30T06:00:00Z,2790,2946,2747,2936,3723.413124023181,0,2240137,3025344.55
2020-03-31T06:00:00Z,3105,3322,3054,3258,3718.7821476647414,0,3743772,3140270.2
2020-04-01T06:00:00Z,3180,3180,3027,3093,3712.5554596282764,0,2137328,3124118.25
2020-04-02T06:00:00Z,3150,3193,2960,3042,3705.8832660001344,0,5201002,3264798.55
2020-04-05T06:00:00Z,3059,3115,3059,3115,3700.0038305175462,0,525580,2894349.6
2020-04-06T06:00:00Z,3193,3334,3183,3303,3696.053543646725,0,2048748,2908283.55
2020-04-07T06:00:00Z,3427,3580,3420,3450,3693.6052496800908,0,2482021,2833003.6
2020-04-12T06:00:00Z,3650,3654,3610,3634,3693.0121626185974,0,859449,2723055.1
2020-04-13T06:00:00Z,3620,3620,3551,3600,3692.0866684631883,0,815926,2549953.1
2020-04-16T06:00:00Z,3645,3730,3606,3680,3691.9664031053458,0,1677352,2593895.75
2020-04-19T06:00:00Z,3728,3741,3692,3700,3692.046339392855,0,928895,2499145
2020-04-20T06:00:00Z,3722,3730,3603,3696,3692.0856792993936,0,1112498,2377203.3
2020-04-21T06:00:00Z,3711,3716,3604,3622,3691.388309356116,0,1211698,2319516.15
2020-04-22T06:00:00Z,3518,3568,3445,3510,3689.583450556553,0,1615553,2169282.65
2020-04-23T06:00:00Z,3503,3569,3501,3541,3688.105008262458,0,2851867,2227787.85
2020-04-26T06:00:00Z,3595,3612,3573,3596,3687.188540518553,0,886510,2100223
2020-04-27T06:00:00Z,3608,3690,3600,3688,3687.196614742249,0,1370604,2006608.05
2020-04-30T06:00:00Z,3891,3895,3785,3839,3688.7070961875997,0,2507196,2004171.95
2020-05-03T06:00:00Z,3577,3639,3575,3586,3687.685135031504,0,928366,1803857.4
2020-05-04T06:00:00Z,3584,3617,3482,3554,3686.354934682932,0,1981881,1856319.15
2020-05-05T06:00:00Z,3520,3609,3505,3575,3685.2469253826043,0,2516699,1870147.25
2020-05-06T06:00:00Z,3575,3597,3500,3520,3683.6026773688473,0,1420516,1753984.45
2020-05-07T06:00:00Z,3696,4234,3676,4148,3688.223546250749,0,9939389,2144087.5
2020-05-10T06:00:00Z,3961,4030,3955,3995,3691.276048278105,0,1441330,1956103.9
2020-05-11T06:00:00Z,3995,4024,3835,3893,3693.283251777825,0,1930604,2026355.1
