time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,1933,1945,1920,1920,1863.9545518780767,0,706811,341472.45
2019-02-04T07:00:00Z,1931,1960,1906,1950,1864.8107254912302,0,805137,368057.7
2019-02-05T07:00:00Z,1950,1996,1950,1982,1865.9767879241533,0,465070,378131.1
2019-02-06T07:00:00Z,1990,1990,1948,1951,1866.8227900343607,0,248535,363040.65
2019-02-07T07:00:00Z,1962,1980,1943,1980,1867.9489314270536,0,714620,382226.2
2019-02-10T07:00:00Z,1980,1983,1960,1962,1868.8847629551426,0,62524,371797.75
2019-02-11T07:00:00Z,1963,1995,1963,1990,1870.0898896919073,0,99198,355321.7
2019-02-12T07:00:00Z,1997,2019,1992,2016,1871.5417315855202,0,156176,355300
2019-02-13T07:00:00Z,2016,2049,1998,2030,1873.118430773724,0,378725,368281.3
2019-02-14T07:00:00Z,2050,2050,2015,2034,1874.7192424078162,0,500354,338829.75
2019-02-17T07:00:00Z,2046,2058,2038,2045,1876.413578304256,0,92432,335321.35
2019-02-18T07:00:00Z,2045,2058,2008,2041,1878.0512541420246,0,237384,331131.25
2019-02-19T07:00:00Z,2040,2061,2035,2061,1879.8716396729496,0,910471,368823.2
2019-02-20T07:00:00Z,2069,2070,2053,2070,1881.763464153816,0,295996,376423.65
2019-02-21T07:00:00Z,2090,2090,2044,2046,1883.397658540345,0,590951,381827.9
2019-02-24T07:00:00Z,2045,2055,2020,2037,1884.9260400474063,0,434972,397750.85
2019-02-25T07:00:00Z,2054,2079,2050,2072,1886.7874724847456,0,248075,398949.7
2019-02-26T07:00:00Z,2054,2074,2054,2074,1888.6502837038029,0,401953,410484.95
2019-02-27T07:00:00Z,2074,2077,2043,2070,1890.4547584928198,0,335509,419307.25
2019-02-28T07:00:00Z,2069,2100,2049,2100,1892.5397857714981,0,1049790,436734.15
2019-03-03T07:00:00Z,2109,2144,2093,2144,1895.0418774553639,0,406789,421733.05
2019-03-04T07:00:00Z,2144,2146,2125,2126,1897.3399682269524,0,238605,393406.45
2019-03-05T07:00:00Z,2130,2140,2091,2098,1899.336585458525,0,208057,380555.8
2019-03-06T07:00:00Z,2110,2110,2082,2094,1901.2735348569477,0,172261,376742.1
2019-03-07T07:00:00Z,2100,2112,2078,2080,1903.0519076444407,0,389785,360500.35
2019-03-10T07:00:00Z,2095,2095,2070,2075,1904.7628339365358,0,64754,360611.85
2019-03-11T07:00:00Z,2073,2089,2060,2074,1906.4467858376647,0,588349,385069.4
2019-03-12T07:00:00Z,2085,2085,2060,2060,1907.9746785158968,0,253794,389950.3
2019-03-13T07:00:00Z,2060,2075,2035,2075,1909.636622013251,0,735648,407796.45
2019-03-14T07:00:00Z,2071,2085,2063,2075,1911.282028759388,0,312617,398409.6
2019-03-17T07:00:00Z,2075,2089,2071,2075,1912.9110632990955,0,160406,401808.3
2019-03-18T07:00:00Z,2074,2074,2049,2058,1914.354734311045,0,124260,396152.1
2019-03-19T07:00:00Z,2059,2070,2027,2030,1915.505433472129,0,432475,372252.3
2019-03-20T07:00:00Z,2013,2075,2013,2075,1917.0924440843467,1,293341,372119.55
2019-03-24T07:00:00Z,2069,2099,2055,2099,1918.9024695163432,0,99470,347545.5
2019-03-25T07:00:00Z,2021,2070,2021,2060,1920.3064250435439,0,241769,337885.35
2019-03-26T07:00:00Z,2070,2070,2036,2036,1921.4576048938568,0,235051,337234.15
2019-03-27T07:00:00Z,2049,2050,2023,2039,1922.6271809645648,0,116085,322940.75
2019-03-28T07:00:00Z,2043,2043,2012,2020,1923.5960647360616,0,682057,340268.15
2019-03-31T06:00:00Z,2020,2050,2011,2050,1924.8538153357028,0,1098588,342708.05
2019-04-01T06:00:00Z,2050,2075,2049,2065,1926.2483047353476,0,661636,355450.4
2019-04-02T06:00:00Z,2053,2103,2045,2054,1927.5194658822595,0,992701,393155.2
2019-04-03T06:00:00Z,2079,2113,2068,2100,1929.2356901023365,0,881061,426805.4
