time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,1804,1820,1794,1806,1568.6778314118903,0,17840,37968.55
2019-02-04T07:00:00Z,1806,1817,1806,1812,1571.0989475172446,0,17974,34496.95
2019-02-05T07:00:00Z,1812,1840,1811,1818,1573.5556744076202,0,52536,34951.3
2019-02-06T07:00:00Z,1818,1823,1785,1814,1575.9481552592856,0,52870,33096.2
2019-02-07T07:00:00Z,1814,1814,1781,1800,1578.1775268487454,0,675092,64345.55
2019-02-10T07:00:00Z,1800,1800,1783,1784,1580.2255116562205,0,21147,63264.05
2019-02-11T07:00:00Z,1784,1824,1775,1802,1582.4322229830243,0,27412,63631.7
2019-02-12T07:00:00Z,1802,1823,1786,1793,1584.5274247443872,0,31623,64227.85
2019-02-13T07:00:00Z,1793,1830,1789,1809,1586.7609827071296,0,39869,65202.55
2019-02-14T07:00:00Z,1809,1815,1796,1801,1588.8927142224816,0,97607,68216.25
2019-02-17T07:00:00Z,1805,1810,1793,1798,1590.9733837327055,0,16480,67132.5
2019-02-18T07:00:00Z,1798,1818,1797,1806,1593.1129520537731,0,11882,66542.25
2019-02-19T07:00:00Z,1815,1815,1791,1793,1595.1018779039844,0,20464,64819.85
2019-02-20T07:00:00Z,1794,1827,1793,1813,1597.2700184223527,0,29217,65295.6
2019-02-21T07:00:00Z,1840,1845,1790,1798,1599.2673316718815,0,73507,68222.75
2019-02-24T07:00:00Z,1798,1830,1798,1820,1601.4636766303702,0,16457,67798.05
2019-02-25T07:00:00Z,1820,1856,1815,1835,1603.7874211415108,0,74127,69558.1
2019-02-26T07:00:00Z,1835,1847,1803,1820,1605.9387900853762,0,34617,70377.15
2019-02-27T07:00:00Z,1820,1832,1805,1815,1608.0190011293028,0,24812,70248.9
2019-02-28T07:00:00Z,1815,1840,1805,1836,1610.2874687797575,0,25635,68058.4
2019-03-03T07:00:00Z,1850,1868,1841,1860,1612.772170582944,0,19168,68124.8
2019-03-04T07:00:00Z,1860,1887,1860,1882,1615.4510544577406,0,46062,69529.2
2019-03-05T07:00:00Z,1882,1900,1849,1856,1617.8445763039322,0,37067,68755.75
2019-03-06T07:00:00Z,1856,1865,1809,1834,1619.995376539714,0,44236,68324.05
2019-03-07T07:00:00Z,1810,1832,1802,1802,1621.8063678179258,0,221614,45650.15
2019-03-10T07:00:00Z,1802,1826,1802,1811,1623.68889152123,0,19224,45554
2019-03-11T07:00:00Z,1811,1820,1810,1820,1625.6422358842028,0,29028,45634.8
2019-03-12T07:00:00Z,1820,1857,1820,1849,1627.8647011987878,0,25965,45351.9
2019-03-13T07:00:00Z,1849,1869,1849,1865,1630.22425641074,0,40977,45407.3
2019-03-14T07:00:00Z,1865,1889,1857,1877,1632.6797364464542,0,22876,41670.75
2019-03-17T07:00:00Z,1890,1895,1883,1895,1635.289888322609,0,14821,41587.8
2019-03-18T07:00:00Z,1896,1908,1888,1900,1637.9238197820855,0,20190,42003.2
2019-03-19T07:00:00Z,1920,1965,1911,1956,1641.0887568986816,0,30354,42497.7
2019-03-20T07:00:00Z,1956,1959,1896,1921,1643.873943397202,0,23505,42212.1
2019-03-24T07:00:00Z,1921,1921,1876,1897,1646.3926106270806,0,20022,39537.85
2019-03-25T07:00:00Z,1891,1900,1870,1873,1648.6474105213385,0,21993,39814.65
2019-03-26T07:00:00Z,1873,1930,1873,1915,1651.2976850435143,0,22292,37222.9
2019-03-27T07:00:00Z,2000,2129,2000,2129,1656.050941908753,0,211521,46068.1
2019-03-28T07:00:00Z,2129,2245,2129,2177,1661.2345146260789,0,122703,50962.65
2019-03-31T06:00:00Z,2200,2239,2184,2192,1666.5157632367645,0,40678,51714.8
2019-04-01T06:00:00Z,2226,2240,2200,2229,1672.1126213140108,0,48737,53193.25
2019-04-02T06:00:00Z,2103,2121,2062,2071,1676.0816499576524,0,24489,52114.6
2019-04-03T06:00:00Z,2071,2123,2071,2091,1680.2101907540937,0,35216,52022.05
2019-04-04T06:00:00Z,2118,2130,2080,2080,1684.1881988062917,0,194153,59517.9
2019-04-07T06:00:00Z,2147,2147,2078,2086,1688.1863261813535,0,61528,51513.6
2019-04-08T06:00:00Z,2140,2186,2105,2157,1692.8511388561658,0,36934,52399.1
2019-04-10T06:00:00Z,2173,2235,2170,2228,1698.1760031461542,0,68678,54381.6
2019-04-11T06:00:00Z,2256,2256,2221,2228,1703.447883711864,0,65876,56377.15
2019-04-14T06:00:00Z,2228,2275,2170,2269,1709.0752679535371,0,3708049,239730.75
