time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,19340,19460,19140,19310,18352.87920732161,0,17909,60509.65
2019-02-04T07:00:00Z,19300,19400,19010,19010,18359.417722671642,0,98728,62642.5
2019-02-05T07:00:00Z,19090,19310,19030,19240,18368.179735381378,0,30648,61387.9
2019-02-06T07:00:00Z,19070,19450,19070,19290,18377.352076322855,0,43466,59398.5
2019-02-07T07:00:00Z,19290,19380,19130,19180,18385.338622827105,0,102543,61116.25
2019-02-10T07:00:00Z,19350,19350,19010,19050,18391.952168868625,0,24690,59814.75
2019-02-11T07:00:00Z,19050,19360,19050,19160,18399.594435845058,0,24463,50892
2019-02-12T07:00:00Z,19330,19490,19200,19400,18409.548720065504,0,38629,51415.3
2019-02-13T07:00:00Z,19400,19880,19320,19690,18422.28952882107,0,82450,53721.45
2019-02-14T07:00:00Z,19820,19820,19570,19630,18434.306548434794,0,56353,53227.65
2019-02-17T07:00:00Z,19860,20020,19750,19870,18448.592055415542,0,27312,53501.05
2019-02-18T07:00:00Z,20030,20030,19820,19930,18463.332432973595,0,38232,54329.15
2019-02-19T07:00:00Z,20000,20010,19760,19810,18476.73211025744,0,59235,55182.5
2019-02-20T07:00:00Z,19720,20140,19720,19950,18491.391492244926,0,93336,58327.1
2019-02-21T07:00:00Z,20090,20130,19850,20050,18506.900034610648,0,136516,59626.85
2019-02-24T07:00:00Z,20140,20150,19830,20060,18522.353765609547,0,9988,59211.1
2019-02-25T07:00:00Z,20290,20600,20160,20530,18542.33034505622,0,58661,59939.45
2019-02-26T07:00:00Z,20570,20630,20320,20590,18562.70516749347,0,43374,58421.2
2019-02-27T07:00:00Z,20590,20590,20320,20330,18580.29019070249,0,41970,59000.1
2019-02-28T07:00:00Z,20400,20670,20240,20290,18597.302228605946,0,95593,56204.8
2019-03-03T07:00:00Z,20290,20450,20200,20270,18613.94598752529,0,18821,56250.4
