time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,1284,1293,1278,1285,1169.4544745116784,0,1232804,2684765.9
2019-02-04T07:00:00Z,1281,1308,1281,1306,1170.8131364568358,0,2201147,2627585.7
2019-02-05T07:00:00Z,1312,1318,1298,1311,1172.2080306214443,0,3478958,2593623.85
2019-02-06T07:00:00Z,1311,1312,1299,1300,1173.4795925058081,0,2606676,2497936.4
2019-02-07T07:00:00Z,1292,1300,1271,1282,1174.5593975555016,0,7591581,2753173.1
2019-02-10T07:00:00Z,1288,1292,1277,1281,1175.6185080275861,0,874255,2747597.45
2019-02-11T07:00:00Z,1286,1289,1281,1284,1176.6969308332818,0,1847999,2748768
2019-02-12T07:00:00Z,1292,1298,1282,1282,1177.744722566284,0,2102397,2723221.8
2019-02-13T07:00:00Z,1292,1313,1284,1303,1178.9910437347787,0,3644551,2815682.8
2019-02-14T07:00:00Z,1313,1313,1287,1297,1180.1652622050794,0,2643211,2811490.95
2019-02-17T07:00:00Z,1310,1316,1305,1309,1181.4471998945812,0,1203239,2811449.7
2019-02-18T07:00:00Z,1314,1318,1306,1309,1182.7163819851824,0,1291116,2829059.65
2019-02-19T07:00:00Z,1306,1318,1302,1315,1184.0326368908025,0,2432915,2866554
2019-02-20T07:00:00Z,1317,1328,1313,1316,1185.3457449814412,0,2352032,2858128.55
2019-02-21T07:00:00Z,1306,1314,1298,1306,1186.546284832372,0,6243774,2996580.5
2019-02-24T07:00:00Z,1310,1315,1306,1314,1187.8144810031943,0,782682,2981474.85
2019-02-25T07:00:00Z,1318,1357,1318,1335,1189.2790135305256,0,4586530,2962497.95
2019-02-26T07:00:00Z,1335,1340,1305,1309,1190.4702671272369,0,4255933,2935491.8
2019-02-27T07:00:00Z,1306,1310,1281,1283,1191.3909609866673,0,2947450,2965062.1
2019-02-28T07:00:00Z,1280,1297,1273,1281,1192.2825932156557,0,3061331,2869029.05
2019-03-03T07:00:00Z,1291,1303,1284,1295,1193.3046569647536,0,598147,2837296.2
2019-03-04T07:00:00Z,1300,1314,1295,1296,1194.3265011740596,0,6762701,3065373.9
2019-03-05T07:00:00Z,1300,1306,1286,1292,1195.298376784268,0,2025045,2992678.25
2019-03-06T07:00:00Z,1295,1298,1283,1290,1196.2406814928822,0,2704277,2997558.3
2019-03-07T07:00:00Z,1282,1289,1264,1264,1196.9149035675798,0,4481392,2842048.85
2019-03-10T07:00:00Z,1265,1275,1265,1270,1197.6421184574547,0,1091789,2852925.55
2019-03-11T07:00:00Z,1278,1281,1262,1277,1198.4317491195695,0,4290527,2975051.95
2019-03-12T07:00:00Z,1282,1290,1270,1274,1199.1836720139022,0,3381476,3039005.9
2019-03-13T07:00:00Z,1276,1288,1265,1280,1199.987814580928,0,2132273,2963392
2019-03-14T07:00:00Z,1270,1279,1263,1263,1200.6148015005208,0,6905438,3176503.35
2019-03-17T07:00:00Z,1275,1279,1266,1275,1201.3549527293712,0,733296,3153006.2
2019-03-18T07:00:00Z,1277,1280,1269,1277,1202.1076397668899,0,3663766,3271638.7
2019-03-19T07:00:00Z,1273,1296,1266,1287,1202.9523398687118,0,4378010,3368893.45
2019-03-20T07:00:00Z,1280,1290,1263,1284,1203.7587842481275,0,6902079,3596395.8
2019-03-24T07:00:00Z,1266,1266,1250,1257,1204.2885475889423,0,1014000,3334907.1
2019-03-25T07:00:00Z,1247,1250,1237,1248,1204.7234874139278,0,4258716,3508708.8
2019-03-26T07:00:00Z,1250,1264,1250,1260,1205.2735024645356,0,4411899,3499977.25
