time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,500.10001,517.79999,499.89999,517,421.84874485029803,0,274913,250080.5
2019-02-04T07:00:00Z,519,524.59998,517,519.40002,422.8194043045239,0,323860,258074.75
2019-02-05T07:00:00Z,519,519.79999,512.5,514.59998,423.7326438636829,0,494533,274347.05
2019-02-06T07:00:00Z,516,516,511.39999,514,424.6308265118054,0,417670,284179
2019-02-07T07:00:00Z,514,514,499,499,425.37081828780737,0,3914508,461942.55
2019-02-10T07:00:00Z,503.70001,503.70001,484.20001,487,425.9840439764859,0,297078,463845.9
2019-02-11T07:00:00Z,484,499,484,492.70001,426.6478844344313,0,284942,468049.45
2019-02-12T07:00:00Z,499,505.79999,495,497.10001,427.3489006092131,0,248231,465759.85
2019-02-13T07:00:00Z,497.10001,509,497.10001,508,428.15139911061397,0,247469,469248.65
2019-02-14T07:00:00Z,512.79999,512.79999,503.39999,508.20001,428.9479027015531,0,163958,472580
2019-02-17T07:00:00Z,508.20001,512.40002,508,510.20001,429.75638138113965,0,134915,449542.8
2019-02-18T07:00:00Z,515,520,511,514.29999,430.5976113176457,0,205495,455967.1
2019-02-19T07:00:00Z,514.29999,514.29999,496.10001,497.10001,431.2593267274204,0,290807,464157.1
2019-02-20T07:00:00Z,497.10001,497.10001,489,492.5,431.8686866604809,0,234144,469918.15
2019-02-21T07:00:00Z,492.5,492.5,479,481.10001,432.35855057430695,0,284166,474208.3
2019-02-24T07:00:00Z,478.39999,498.5,475,497.60001,433.0077193248114,1,270432,473431.05
2019-02-25T07:00:00Z,498,506.60001,498,505,433.724060426057,0,206522,464171.25
2019-02-26T07:00:00Z,505,507.70001,497.60001,507.70001,434.4601395262952,0,288737,468168
2019-02-27T07:00:00Z,507.70001,511,502.10001,504.79999,435.1600385359838,0,102175,451998.9
2019-02-28T07:00:00Z,505,524,496.5,522.59998,436.03008770478,0,293931,448924.3
2019-03-03T07:00:00Z,524,532,517,524.59998,436.91138016542897,0,239275,447142.4
2019-03-04T07:00:00Z,525.5,527.90002,514,516,437.69833160656896,0,217379,441818.35
2019-03-05T07:00:00Z,516,516,509.39999,511.29999,438.43068641645385,0,121460,423164.7
2019-03-06T07:00:00Z,511,519.40002,511,515.5,439.19754525808116,0,226664,413614.4
2019-03-07T07:00:00Z,509.20001,515,505.60001,508.29999,439.8851317729261,0,312676,233522.8
2019-03-10T07:00:00Z,505.10001,518.59998,505,509.60001,440.578812153295,0,90998,223218.8
2019-03-11T07:00:00Z,509.60001,521,509.60001,520.29999,441.3720577040085,0,133800,215661.7
2019-03-12T07:00:00Z,532,536,529,536,442.3136292691428,0,2247597,315630
2019-03-13T07:00:00Z,545.90002,563.70001,544.5,559.20001,443.4766778336289,0,1049675,355740.3
2019-03-14T07:00:00Z,572,572,553,554,444.576412382548,0,465152,370800
2019-03-17T07:00:00Z,563.90002,565,561,562.90002,445.7537617120749,0,500868,389097.65
2019-03-18T07:00:00Z,564,599,564,582,447.10944567513883,0,492842,403465
2019-03-19T07:00:00Z,577.09998,587,577,584,448.4715407430479,0,486037,413226.5
2019-03-20T07:00:00Z,593.90002,593.90002,580.09998,583.90002,449.81908780033103,0,341246,418581.6
2019-03-24T07:00:00Z,580,580.5,558.40002,559.5,450.9104401605267,0,267751,417760.85
2019-03-25T07:00:00Z,559.5,559.5,540.09998,544.40002,451.84068473604384,0,385357,423507.1
2019-03-26T07:00:00Z,544.40002,580.09998,544.40002,579.5,453.1109266789688,0,239772,425169.6
