time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,2385,2398,2383,2390,2279.902133529516,0,760150,2194292.2
2019-02-04T07:00:00Z,2398,2398,2381,2387,2280.967783942158,0,1669943,2163347.3
2019-02-05T07:00:00Z,2390,2404,2385,2385,2282.002930370594,0,1295883,2116519.85
2019-02-06T07:00:00Z,2386,2386,2366,2366,2282.8387221082003,0,1505560,2102566.25
2019-02-07T07:00:00Z,2355,2364,2341,2361,2283.616446266328,0,8327348,2418182.8
2019-02-10T07:00:00Z,2354,2377,2350,2372,2284.4958846119366,0,497326,2409935.6
2019-02-11T07:00:00Z,2370,2386,2366,2381,2285.4561245660466,0,1409360,2306845.35
2019-02-12T07:00:00Z,2404,2408,2395,2399,2286.5859143713596,0,1631171,2299325.55
2019-02-13T07:00:00Z,2408,2419,2402,2415,2287.863666467167,0,2703090,2329864.5
2019-02-14T07:00:00Z,2411,2415,2385,2387,2288.8500976465984,0,2252742,2327811.35
2019-02-17T07:00:00Z,2392,2403,2375,2388,2289.8366638391694,0,1264168,2349633.4
2019-02-18T07:00:00Z,2396,2396,2379,2390,2290.8333139502224,0,1130625,2337733.95
2019-02-19T07:00:00Z,2388,2401,2381,2386,2291.7802461497226,0,1961827,2362885.35
2019-02-20T07:00:00Z,2395,2411,2385,2400,2292.8570596208697,0,2842000,2402251.5
2019-02-21T07:00:00Z,2400,2405,2375,2388,2293.80375554504,0,5584469,2426286.2
2019-02-24T07:00:00Z,2382,2393,2382,2388,2294.7410316092687,0,790257,2417033.55
2019-02-25T07:00:00Z,2388,2401,2385,2394,2295.728683036042,0,2866522,2361001.15
2019-02-26T07:00:00Z,2390,2408,2381,2408,2296.845810568022,0,2077033,2338228.55
2019-02-27T07:00:00Z,2400,2409,2373,2375,2297.623464194211,0,3042631,2365020.15
2019-02-28T07:00:00Z,2375,2397,2372,2397,2298.61228544601,0,3298400,2345525.25
2019-03-03T07:00:00Z,2391,2402,2387,2389,2299.5116656903283,0,690998,2342067.65
2019-03-04T07:00:00Z,2400,2408,2386,2397,2300.481698867539,0,2704385,2393789.75
2019-03-05T07:00:00Z,2388,2400,2388,2393,2301.40227897831,0,1405229,2399257.05
2019-03-06T07:00:00Z,2393,2432,2383,2430,2302.6818582919586,0,2938753,2470916.7
2019-03-07T07:00:00Z,2430,2436,2411,2417,2303.819352239302,0,6096808,2359389.7
2019-03-10T07:00:00Z,2415,2415,2400,2407,2304.846025351349,0,708715,2369959.15
2019-03-11T07:00:00Z,2401,2422,2396,2420,2305.9918360443703,0,2687233,2433852.8
2019-03-12T07:00:00Z,2425,2444,2420,2429,2307.2157978747746,0,2813650,2492976.75
2019-03-13T07:00:00Z,2426,2453,2412,2453,2308.6663869506474,0,3530186,2534331.55
2019-03-14T07:00:00Z,2436,2449,2428,2430,2309.873686582979,0,5518631,2697626
2019-03-17T07:00:00Z,2413,2442,2413,2442,2311.1883762687207,0,587572,2663796.2
2019-03-18T07:00:00Z,2470,2479,2439,2452,2312.589486952614,0,2713071,2742918.5
2019-03-19T07:00:00Z,2445,2479,2445,2479,2314.2453129530854,0,1788976,2734275.95
2019-03-20T07:00:00Z,2489,2499,2452,2499,2316.0836680480797,0,3334903,2758921.1
2019-03-24T07:00:00Z,2454,2460,2445,2458,2317.4957708535717,0,644805,2511937.9
2019-03-25T07:00:00Z,2443,2445,2431,2435,2318.6649671634864,0,5165995,2730724.8
2019-03-26T07:00:00Z,2423,2445,2405,2413,2319.6036242066357,0,3501249,2762461.15
2019-03-27T07:00:00Z,2419,2422,2386,2386,2320.264284662291,0,3504365,2833827.75
2019-03-28T07:00:00Z,2371,2379,2363,2371,2320.769117650726,0,4821452,2922768.8
2019-03-31T06:00:00Z,2380,2394,2379,2382,2321.378380161664,0,751362,2795416.9
2019-04-01T06:00:00Z,2380,2392,2370,2371,2321.872127622742,0,4399460,2980840
2019-04-02T06:00:00Z,2378,2405,2374,2392,2322.56991739764,0,3494582,3020349.85
2019-04-03T06:00:00Z,2383,2417,2380,2417,2323.5095202096036,0,3308082,3115492.5
2019-04-04T06:00:00Z,2396,2413,2382,2401,2324.280569759757,0,4341675,3185638.6
2019-04-07T06:00:00Z,2405,2407,2395,2406,2325.093698418864,0,689603,2915278.35
2019-04-08T06:00:00Z,2400,2430,2395,2430,2326.137542215691,0,2306746,2995179.9
2019-04-10T06:00:00Z,2431,2452,2426,2452,2327.389904979714,0,3261857,3023911.1
2019-04-11T06:00:00Z,2460,2460,2435,2435,2328.4606521938463,0,2523444,3009400.8
2019-04-14T06:00:00Z,2453,2459,2449,2457,2329.73965067948,0,934057,2879594.35
2019-04-15T06:00:00Z,2459,2462,2443,2443,2330.8666193294353,0,1809642,2694144.9
2019-04-16T06:00:00Z,2443,2474,2442,2464,2332.191329584864,0,2401593,2784845.95
2019-04-17T06:00:00Z,2460,2466,2427,2430,2333.16455018601,0,2292693,2763827.05
2019-04-18T06:00:00Z,2433,2444,2412,2420,2334.028584512517,0,2278863,2788321.4
2019-04-21T06:00:00Z,2435,2449,2427,2449,2335.172578696472,0,306846,2636918.55
2019-04-22T06:00:00Z,2443,2448,2431,2437,2336.1857868686466,0,410819,2625219.25
2019-04-23T06:00:00Z,2437,2445,2422,2443,2337.2486148600033,0,1108345,2422336.75
2019-04-24T06:00:00Z,2443,2480,2443,2480,2338.669026652441,0,3463496,2420449.1
2019-04-28T06:00:00Z,2481,2495,2479,2495,2340.224558725551,0,1862547,2338358.2
2019-04-29T06:00:00Z,2489,2501,2452,2471,2341.5258068974363,0,4127886,2303679.9
2019-04-30T06:00:00Z,2468,2490,2456,2461,2342.7146048387553,0,2759741,2404098.85
2019-05-01T06:00:00Z,2471,2504,2471,2500,2344.27963364633,0,2304584,2299355.05
2019-05-02T06:00:00Z,2483,2498,2466,2477,2345.600234306565,0,6430291,2446140.5
2019-05-05T06:00:00Z,2495,2497,2455,2466,2346.7982419254054,0,543708,2307921.8
2019-05-06T06:00:00Z,2430,2439,2424,2427,2347.5962693689335,0,1746921,2178184.1
2019-05-07T06:00:00Z,2427,2459,2427,2445,2348.5654607184965,0,2571548,2272281.35
2019-05-12T06:00:00Z,2441,2449,2428,2449,2349.564809368064,0,841964,2199042.25
2019-05-13T06:00:00Z,2429,2443,2384,2384,2349.9074480808194,0,5145312,2293215
2019-05-14T06:00:00Z,2400,2449,2400,2429,2350.6944386471796,0,3052921,2319688.85
2019-05-15T06:00:00Z,2446,2456,2382,2400,2351.185041247705,0,3758351,2460903.55
2019-05-16T06:00:00Z,2416,2458,2411,2454,2352.208075663151,0,4572063,2599024.6
2019-05-19T06:00:00Z,2463,2482,2459,2480,2353.4796370993386,0,696604,2513775.15
2019-05-20T06:00:00Z,2476,2488,2443,2443,2354.370386978947,0,2855015,2541891.25
2019-05-21T06:00:00Z,2458,2465,2433,2433,2355.1527711881117,0,2012867,2528591.45
2019-05-22T06:00:00Z,2420,2424,2405,2424,2355.8378182409665,0,3767609,2701629.6
2019-05-23T06:00:00Z,2408,2422,2406,2406,2356.3369444276236,0,2505602,2806368.75
2019-05-26T06:00:00Z,2406,2451,2406,2451,2357.2788653785924,0,1219531,2811928.05
2019-05-27T06:00:00Z,2500,2522,2478,2485,2358.549722439502,0,3760056,2826756.05
2019-05-28T06:00:00Z,2488,2503,2472,2500,2359.9571878878655,0,4398149,2953536.15
2019-05-29T06:00:00Z,2470,2482,2457,2460,2360.952638754653,0,3545783,2924431
2019-05-30T06:00:00Z,2460,2468,2436,2447,2361.8088314038605,0,4020035,2987445.7
2019-06-02T06:00:00Z,2421,2449,2421,2446,2362.6465544744688,0,618388,2903135.9
2019-06-03T06:00:00Z,2440,2446,2421,2434,2363.356539007061,0,2401945,2701718.6
2019-06-04T06:00:00Z,2433,2460,2424,2438,2364.099260011966,0,3568188,2852942.6
2019-06-05T06:00:00Z,2449,2454,2424,2454,2364.9937947382155,0,3240239,2927608.5
2019-06-06T06:00:00Z,2447,2468,2443,2468,2366.0187321040044,0,3105195,2954290.85
2019-06-10T06:00:00Z,2457,2482,2451,2480,2367.1528740731187,0,1824621,3003423.7
2019-06-11T06:00:00Z,2473,2485,2463,2473,2368.206079306222,0,3158882,2904102.2
2019-06-12T06:00:00Z,2460,2468,2437,2439,2368.910496427553,0,1910219,2846967.1
2019-06-13T06:00:00Z,2433,2484,2433,2484,2370.0556656173285,0,2063649,2762232
2019-06-16T06:00:00Z,2484,2496,2482,2496,2371.3088430738726,0,788073,2573032.5
2019-06-17T06:00:00Z,2491,2495,2477,2478,2372.370446625376,0,2147797,2645592.15
2019-06-18T06:00:00Z,2472,2498,2465,2481,2373.4513377037306,0,2311190,2618400.9
2019-06-19T06:00:00Z,2472,2490,2468,2471,2374.421971159415,0,2897265,2662620.8
2019-06-20T06:00:00Z,2490,2494,2476,2476,2375.4326978145455,0,4689019,2708691.3
2019-06-23T06:00:00Z,2465,2470,2452,2460,2376.2741635079333,0,833728,2625097.6
2019-06-24T06:00:00Z,2458,2481,2458,2479,2377.29631113472,0,2745476,2701394.85
2019-06-25T06:00:00Z,2471,2509,2470,2491,2378.427691123429,0,2975242,2662154.15
2019-06-26T06:00:00Z,2485,2547,2482,2547,2380.1050275301614,0,3806997,2632596.55
2019-06-27T06:00:00Z,2569,2594,2563,2576,2382.054231236329,0,11045372,3007576
2019-06-30T06:00:00Z,2530,2557,2522,2530,2383.5263284379575,0,2309698,2922059.15
2019-07-01T06:00:00Z,2539,2575,2530,2553,2385.2126336276297,0,3571635,3069721.5
2019-07-02T06:00:00Z,2560,2597,2560,2597,2387.3199706064593,0,3042966,3101772.55
2019-07-03T06:00:00Z,2597,2617,2580,2614,2389.575493286992,0,2865416,3066633.95
2019-07-04T06:00:00Z,2614,2619,2608,2611,2391.7787222095094,0,2269995,3018121.75
2019-07-07T06:00:00Z,2610,2610,2594,2600,2393.8505757198627,0,436632,2884693.6
2019-07-08T06:00:00Z,2590,2618,2590,2596,2395.8620127773765,0,5119348,3049429.95
2019-07-09T06:00:00Z,2595,2603,2550,2595,2397.8434852870546,0,7832452,3283108.45
2019-07-10T06:00:00Z,2593,2594,2572,2580,2399.6559879210145,0,3157900,3345492.5
2019-07-11T06:00:00Z,2585,2599,2574,2590,2401.549958190457,0,2498788,3367249.45
2019-07-14T06:00:00Z,2602,2604,2586,2593,2403.4549337308504,0,371631,3346427.35
2019-07-15T06:00:00Z,2593,2603,2556,2559,2405.002645833031,0,2189956,3348535.3
2019-07-16T06:00:00Z,2551,2556,2508,2519,2406.136947864543,0,2816562,3373803.9
2019-07-17T06:00:00Z,2520,2535,2499,2499,2407.060958333552,0,3543929,3406137.1
2019-07-18T06:00:00Z,2481,2504,2481,2501,2407.9956751660543,0,2739871,3308679.7
2019-07-21T06:00:00Z,2492,2499,2486,2499,2408.901190836044,0,413321,3287659.35
2019-07-22T06:00:00Z,2502,2520,2493,2493,2409.737994907327,0,2095088,3255139.95
2019-07-23T06:00:00Z,2500,2529,2499,2528,2410.9147312764085,0,2222498,3217502.75
2019-07-24T06:00:00Z,2521,2553,2521,2540,2412.1991618109714,0,3060202,3180163
2019-07-25T06:00:00Z,2540,2562,2530,2538,2413.4509114446932,0,11133006,3184544.7
2019-07-28T06:00:00Z,2555,2566,2548,2565,2414.958862574597,0,467776,3092448.6
2019-07-29T06:00:00Z,2567,2581,2528,2575,2416.551311703208,0,3359088,3081821.25
2019-07-30T06:00:00Z,2570,2574,2550,2550,2417.879159347952,0,2646099,3061977.9
2019-07-31T06:00:00Z,2550,2570,2549,2567,2419.362948807176,0,1693151,3003364.65
2019-08-01T06:00:00Z,2550,2599,2542,2595,2421.1105811573534,0,4833142,3131522
2019-08-04T06:00:00Z,2578,2592,2557,2582,2422.711470897081,0,1260564,3172718.6
2019-08-05T06:00:00Z,2560,2565,2520,2520,2423.679515962782,0,2571326,3045317.5
2019-08-06T06:00:00Z,2525,2549,2505,2549,2424.926485953202,0,6210838,2964236.8
2019-08-07T06:00:00Z,2555,2577,2522,2526,2425.9321925606328,0,3888682,3000775.9
2019-08-08T06:00:00Z,2554,2554,2537,2540,2427.067195619731,0,3024210,3027047
2019-08-12T06:00:00Z,2557,2564,2505,2512,2427.912298150878,0,2519032,3134417.05
2019-08-13T06:00:00Z,2505,2536,2487,2530,2428.9280961792274,0,3283881,3189113.3
2019-08-14T06:00:00Z,2530,2530,2445,2455,2429.187518107792,0,4428637,3269717.05
2019-08-15T06:00:00Z,2462,2468,2410,2415,2429.0463487733864,0,5596530,3372347.1
2019-08-18T06:00:00Z,2431,2449,2431,2445,2429.2050915716613,0,1108518,3290779.45
2019-08-19T06:00:00Z,2464,2520,2461,2511,2430.0189712575157,0,3783648,3459295.8
2019-08-20T06:00:00Z,2510,2517,2489,2513,2430.8446531355503,0,2261684,3467625.6
2019-08-21T06:00:00Z,2510,2546,2510,2530,2431.8312735023605,0,1796329,3446317.15
2019-08-22T06:00:00Z,2521,2545,2512,2520,2432.708574263531,0,2414733,3414043.7
2019-08-25T06:00:00Z,2470,2475,2450,2460,2432.9801307385205,0,1085953,2911691.05
2019-08-26T06:00:00Z,2465,2523,2465,2502,2433.666895606794,0,3061585,3041381.5
2019-08-27T06:00:00Z,2509,2515,2473,2499,2434.3169762475222,0,6005314,3173692.8
2019-08-28T06:00:00Z,2497,2497,2406,2420,2434.1745187724223,0,14261587,3754467.2
2019-08-29T06:00:00Z,2440,2441,2397,2408,2433.9140757995624,0,10749773,4207298.3
2019-09-01T06:00:00Z,2408,2438,2408,2415,2433.725876040363,0,1002481,4015765.25
2019-09-02T06:00:00Z,2426,2436,2408,2410,2433.489797671802,0,2784118,4091942.95
2019-09-03T06:00:00Z,2411,2413,2382,2382,2432.9774613765603,0,4552898,4191021.55
2019-09-04T06:00:00Z,2392,2417,2392,2405,2432.699078676296,0,4572535,4109106.4
2019-09-05T06:00:00Z,2410,2433,2397,2420,2432.572719684492,0,10559540,4442649.3
2019-09-08T06:00:00Z,2424,2445,2414,2418,2432.4277174985764,0,2439275,4413402.55
2019-09-09T06:00:00Z,2407,2433,2391,2408,2432.1846556329187,0,3691197,4472010.8
2019-09-10T06:00:00Z,2400,2420,2392,2414,2432.003713785825,0,2848711,4450252.3
2019-09-11T06:00:00Z,2416,2480,2413,2462,2432.3021842954186,0,3699221,4413781.5
2019-09-12T06:00:00Z,2464,2498,2456,2483,2432.806640173076,0,3436094,4305759.7
2019-09-15T06:00:00Z,2478,2495,2458,2458,2433.057320370359,0,680836,4284375.6
2019-09-16T06:00:00Z,2455,2458,2434,2445,2433.1761530034896,0,2234545,4206920.45
2019-09-18T06:00:00Z,2441,2507,2433,2497,2433.8112161576837,0,2658565,4226764.5
2019-09-19T06:00:00Z,2491,2506,2476,2481,2434.280756295418,0,3840568,4328976.45
2019-09-22T06:00:00Z,2460,2477,2451,2477,2434.705823396956,0,687291,4242604.35
2019-09-23T06:00:00Z,2470,2488,2434,2434,2434.6988002785783,0,4030610,4389837.2
2019-09-24T06:00:00Z,2441,2454,2412,2454,2434.8908520171,0,3880895,4430802.7
2019-09-25T06:00:00Z,2450,2463,2439,2458,2435.120793788074,0,2425465,4251810.25
2019-09-26T06:00:00Z,2510,2510,2451,2474,2435.507651561327,0,9219978,3999729.8
2019-10-02T06:00:00Z,2499,2499,2432,2445,2435.602102789572,0,4355873,3680034.8
2019-10-03T06:00:00Z,2444,2484,2435,2469,2435.934420174751,0,3172651,3788543.3
2019-10-06T06:00:00Z,2482,2534,2482,2534,2436.910197088435,0,2651107,3781892.75
2019-10-07T06:00:00Z,2510,2544,2503,2506,2437.597657813923,0,2629771,3685736.4
2019-10-10T06:00:00Z,2502,2506,2470,2481,2438.029521915277,0,4419485,3678083.9
2019-10-15T06:00:00Z,2494,2517,2488,2510,2438.745646075324,0,2884065,3294310.15
2019-10-16T06:00:00Z,2502,2515,2495,2497,2439.3252913880074,0,2765877,3310640.25
2019-10-17T06:00:00Z,2490,2497,2481,2496,2439.8892188368827,0,2953388,3273749.8
2019-10-22T06:00:00Z,2485,2529,2470,2512,2440.606739047461,0,5500235,3406326
2019-10-23T06:00:00Z,2504,2524,2503,2515,2441.346970499725,0,3156590,3379194.45
2019-10-24T06:00:00Z,2555,2564,2541,2541,2442.3385429325635,0,5464377,3480608.6
2019-10-27T07:00:00Z,2550,2568,2546,2562,2443.529204196916,0,752242,3484178.9
2019-10-28T07:00:00Z,2562,2575,2558,2559,2444.678167339235,0,2922669,3518585.1
2019-10-29T07:00:00Z,2552,2573,2537,2559,2445.815698012477,0,2607412,3516027.45
2019-10-30T07:00:00Z,2546,2574,2546,2565,2447.001611465089,0,1668428,3407420.45
2019-10-31T07:00:00Z,2545,2576,2537,2566,2448.1856750326006,0,3965233,3571317.55
2019-11-03T07:00:00Z,2570,2595,2570,2593,2449.6266135894903,0,1356915,3437632.8
2019-11-04T07:00:00Z,2593,2599,2576,2576,2450.8840602204405,0,2909553,3389065.7
2019-11-05T07:00:00Z,2583,2596,2572,2595,2452.3180496709833,0,2207020,3378143.45
2019-11-06T07:00:00Z,2595,2595,2580,2587,2453.6581685797296,0,2512528,3042770.95
2019-11-07T07:00:00Z,2594,2605,2586,2604,2455.1541072008267,0,6714363,3160695.45
2019-11-10T07:00:00Z,2600,2602,2592,2602,2456.6152603630076,0,654132,3034769.5
2019-11-11T07:00:00Z,2591,2595,2575,2590,2457.942471702679,0,2812852,3042856.75
2019-11-12T07:00:00Z,2580,2601,2572,2599,2459.3460291981746,0,2521127,3037424.55
2019-11-13T07:00:00Z,2597,2603,2574,2574,2460.486864728541,0,3278723,2980386.45
2019-11-14T07:00:00Z,2548,2559,2532,2559,2461.467094930247,0,3219156,2997141
2019-11-17T07:00:00Z,2572,2586,2568,2572,2462.566924831439,0,836880,2900691.15
2019-11-18T07:00:00Z,2572,2577,2538,2546,2463.3971046838624,0,3078660,2906954.75
2019-11-19T07:00:00Z,2556,2556,2502,2503,2463.7911633437243,0,3173478,2790616.9
2019-11-20T07:00:00Z,2486,2515,2476,2508,2464.231052265677,0,2222487,2743911.75
2019-11-21T07:00:00Z,2490,2516,2481,2485,2464.4377084620387,0,2531625,2597274.15
2019-11-24T07:00:00Z,2499,2501,2478,2495,2464.7418108654015,0,926225,2605973.3
2019-11-25T07:00:00Z,2490,2513,2468,2492,2465.013036627935,0,3622305,2640955.1
2019-11-26T07:00:00Z,2492,2499,2437,2455,2464.913404422682,0,6414239,2831296.45
2019-11-27T07:00:00Z,2469,2470,2438,2470,2464.9640173139987,0,2427736,2869261.85
2019-11-28T07:00:00Z,2500,2545,2480,2521,2465.521589281024,0,6584149,3000207.65
2019-12-01T07:00:00Z,2510,2524,2486,2491,2465.7751058055906,0,821268,2973425.3
2019-12-02T07:00:00Z,2491,2501,2451,2455,2465.6678908224503,0,2118552,2933875.25
2019-12-03T07:00:00Z,2450,2463,2423,2428,2465.2930859386447,0,3354199,2991234.2
2019-12-04T07:00:00Z,2427,2438,2407,2415,2464.792657222837,0,2995163,3015365.95
2019-12-05T07:00:00Z,2430,2430,2401,2412,2464.267357150968,0,3991790,2879237.3
