time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-03T07:00:00Z,2178,2186,2153,2178,2054.512183921595,0,42901,70932.3
2019-02-04T07:00:00Z,2160,2228,2141,2178,2055.7409184099374,0,146440,74787.8
2019-02-05T07:00:00Z,2178,2219,2176,2204,2057.216133152127,0,27599,68300.15
2019-02-06T07:00:00Z,2202,2202,2161,2176,2058.398062175489,0,42282,63873.85
2019-02-07T07:00:00Z,2176,2176,2090,2090,2058.7125093180216,0,211548,70279.95
2019-02-10T07:00:00Z,2107,2110,2060,2062,2058.745220668091,0,48402,71297.25
2019-02-11T07:00:00Z,2062,2090,2001,2079,2058.946760760946,0,83123,74039.1
2019-02-12T07:00:00Z,2074,2089,2055,2055,2058.9074895095932,0,84059,76497.2
2019-02-13T07:00:00Z,2055,2101,2055,2100,2059.3163702109905,0,180222,82184.3
2019-02-14T07:00:00Z,2110,2140,2080,2113,2059.850535681528,0,67249,82340.7
2019-02-17T07:00:00Z,2139,2150,2113,2143,2060.677893535443,0,67875,69443.55
2019-02-18T07:00:00Z,2143,2155,2119,2150,2061.566670714195,0,100562,72551.8
2019-02-19T07:00:00Z,2150,2189,2150,2189,2062.834664040422,0,41485,71884.15
2019-02-20T07:00:00Z,2200,2253,2195,2249,2064.6870554430047,0,58522,71626.7
2019-02-21T07:00:00Z,2240,2270,2220,2270,2066.7299703142185,0,80914,74039.75
2019-02-24T07:00:00Z,2270,2292,2260,2273,2068.7824084205445,0,43056,74972.4
2019-02-25T07:00:00Z,2273,2310,2271,2299,2071.0731307248175,0,166640,80478.35
2019-02-26T07:00:00Z,2299,2315,2230,2275,2073.1022538021825,0,73181,82576.4
2019-02-27T07:00:00Z,2275,2293,2247,2289,2075.250490082758,0,26370,81899.35
2019-02-28T07:00:00Z,2287,2312,2271,2310,2077.586306101835,0,37378,81490.4
2019-03-03T07:00:00Z,2300,2315,2300,2311,2079.9088304192296,0,26587,80674.7
2019-03-04T07:00:00Z,2304,2332,2286,2313,2082.2281455394364,0,48427,75774.05
2019-03-05T07:00:00Z,2314,2335,2278,2319,2084.5840843897904,0,58615,77324.85
2019-03-06T07:00:00Z,2330,2330,2291,2314,2086.8668298187476,0,43291,77375.3
2019-03-07T07:00:00Z,2314,2329,2288,2313,2089.1169111140835,0,85963,71096.05
2019-03-10T07:00:00Z,2313,2315,2253,2260,2090.8172403567296,0,22379,69794.9
2019-03-11T07:00:00Z,2294,2294,2252,2268,2092.5802528904933,0,23405,66809
2019-03-12T07:00:00Z,2268,2301,2260,2277,2094.4152752497916,0,90490,67130.55
2019-03-13T07:00:00Z,2277,2368,2273,2366,2097.1176108194454,0,95913,62915.1
2019-03-14T07:00:00Z,2379,2382,2366,2373,2099.862709219252,0,86245,63864.9
2019-03-17T07:00:00Z,2373,2492,2350,2399,2102.839199674782,0,113377,66140
2019-03-18T07:00:00Z,2444,2444,2380,2397,2105.766172812346,0,93368,65780.3
2019-03-19T07:00:00Z,2397,2434,2385,2400,2108.693872585358,0,97142,68563.15
2019-03-20T07:00:00Z,2400,2435,2375,2422,2111.811346489981,0,94275,70350.8
2019-03-24T07:00:00Z,2351,2399,2305,2376,2114.4400893109764,0,139209,73265.55
2019-03-25T07:00:00Z,2376,2376,2301,2301,2116.2964068302704,0,94571,75841.3
2019-03-26T07:00:00Z,2301,2364,2299,2353,2118.6516664638,0,45678,69793.2
2019-03-27T07:00:00Z,2353,2380,2334,2349,2120.9436896830657,0,67096,69488.95
2019-03-28T07:00:00Z,2330,2359,2330,2342,2123.143254959851,0,93666,72853.75
2019-03-31T06:00:00Z,2342,2354,2319,2329,2125.191580781146,0,112000,76584.85
2019-04-01T06:00:00Z,2329,2397,2329,2397,2127.8961421664085,0,58958,78203.4
2019-04-02T06:00:00Z,2420,2425,2391,2415,2130.7528969707228,0,96942,80629.15
2019-04-03T06:00:00Z,2405,2450,2400,2410,2133.5314751103174,0,55965,80496.65
2019-04-04T06:00:00Z,2388,2400,2374,2379,2135.9739479947916,0,239094,90286.8
2019-04-07T06:00:00Z,2433,2433,2380,2416,2138.7602768704655,0,36607,87819
2019-04-08T06:00:00Z,2409,2433,2355,2392,2141.2800751105606,0,51586,89279.35
2019-04-10T06:00:00Z,2400,2439,2390,2439,2144.2424624228934,0,54082,90813.2
2019-04-11T06:00:00Z,2444,2470,2435,2470,2147.483830955999,0,61934,89385.4
2019-04-14T06:00:00Z,2470,2490,2404,2450,2150.4939420907654,0,51441,87161.8
2019-04-15T06:00:00Z,2450,2460,2425,2442,2153.394499880907,0,41084,84903.75
2019-04-16T06:00:00Z,2442,2490,2442,2468,2156.5249028671665,0,50970,81783.4
2019-04-17T06:00:00Z,2470,2499,2443,2459,2159.5346053261997,0,44761,79353.05
2019-04-18T06:00:00Z,2460,2460,2406,2407,2161.99694756176,0,343374,91664.65
2019-04-21T06:00:00Z,2440,2440,2395,2398,2164.3452366407473,0,24690,88185.4
2019-04-22T06:00:00Z,2407,2430,2407,2427,2166.9587168731778,0,23220,82385.95
