time,open,high,low,close,EMA,bullish,Volume,Volume MA
2019-02-04T07:00:00Z,40390,40770,40160,40240,38712.478287223,0,81876,83835.25
2019-02-05T07:00:00Z,40390,40510,40150,40450,38729.76706048446,0,43563,80229.2
2019-02-06T07:00:00Z,40450,40500,40240,40400,38746.38629371347,0,46485,78123.25
2019-02-07T07:00:00Z,40400,40760,40000,40760,38766.422250989956,0,228285,84885.45
2019-02-10T07:00:00Z,40950,41130,40810,41100,38789.64193008458,0,13311,84248.9
2019-02-11T07:00:00Z,41100,41390,40870,40870,38810.34201038225,0,34007,77211.4
2019-02-12T07:00:00Z,41200,41410,40850,41080,38832.925671970486,0,76952,76905.8
2019-02-13T07:00:00Z,41200,41600,40690,41230,38856.777157821525,0,97417,75317.85
2019-02-14T07:00:00Z,41200,42700,40720,42550,38893.52564381335,0,158448,75899.2
2019-02-17T07:00:00Z,41700,41720,41500,41720,38921.649766760485,0,34361,75618.05
2019-02-18T07:00:00Z,41800,41930,41470,41930,38951.58359992705,0,51133,76813.55
2019-02-19T07:00:00Z,41900,41900,41560,41600,38977.93600191783,0,76502,77670.8
2019-02-20T07:00:00Z,41350,41750,41350,41560,39003.62818100322,0,87463,78312.25
2019-02-21T07:00:00Z,41730,41770,41300,41520,39028.66670656538,0,191189,82039
2019-02-24T07:00:00Z,41620,42000,41620,42000,39058.23221197269,0,19610,81986.4
2019-02-25T07:00:00Z,42200,42990,42150,42770,39095.16522478888,0,108150,82721.2
2019-02-26T07:00:00Z,42480,42670,42310,42640,39130.43721260192,0,75161,80849.6
2019-02-27T07:00:00Z,42550,42550,41870,41910,39158.09455377006,0,44957,81322.6
2019-02-28T07:00:00Z,42000,42840,42000,42600,39192.342369155434,0,158936,82434.25
2019-03-03T07:00:00Z,43090,43090,42670,42780,39228.04045503448,0,19828,82381.7
2019-03-04T07:00:00Z,42780,43190,42330,42500,39260.597266427176,0,91641,82869.95
2019-03-05T07:00:00Z,42500,42500,41970,42050,39288.352517507505,0,65520,83967.8
2019-03-06T07:00:00Z,42090,42220,41650,41710,39312.448512358176,0,66833,84985.2
2019-03-07T07:00:00Z,41500,41670,41110,41200,39331.23011920039,0,289647,88053.3
2019-03-10T07:00:00Z,41600,41690,41420,41650,39354.302456322774,0,29857,88880.6
2019-03-11T07:00:00Z,41650,41960,41130,41800,39378.637755264834,0,249016,99631.05
2019-03-12T07:00:00Z,42100,42180,41500,41580,39400.541857202494,0,129461,102256.5
2019-03-13T07:00:00Z,41370,42150,41350,42150,39427.89964966814,0,86967,101734
2019-03-14T07:00:00Z,42120,42120,41470,42100,39454.48771285552,0,155605,101591.85
2019-03-17T07:00:00Z,42630,43200,42630,43030,39490.06494954353,0,19921,100869.85
2019-03-18T07:00:00Z,43190,43740,42850,43520,39530.16380576698,0,111398,103883.1
2019-03-19T07:00:00Z,43520,43830,42980,43250,39567.17710123198,0,92808,104698.4
2019-03-20T07:00:00Z,43590,43600,43020,43340,39604.71762758788,0,155641,108107.3
2019-03-24T07:00:00Z,42400,42550,42200,42550,39634.02391985069,0,20533,99574.5
2019-03-25T07:00:00Z,42020,42330,41670,41940,39656.96895547407,0,90608,103124.4
2019-03-26T07:00:00Z,42330,42570,42190,42470,39684.95931412607,0,72812,101357.5
2019-03-27T07:00:00Z,42850,43120,42510,42510,39713.06917169695,0,61308,100664.85
2019-03-28T07:00:00Z,42380,42920,42380,42780,39743.585896356686,0,164689,106651.45
2019-03-31T06:00:00Z,44400,44590,44310,44590,39791.80892226358,0,32366,100322.95
2019-04-01T06:00:00Z,45320,45660,44840,45220,39845.82077378335,0,159580,107310.55
2019-04-02T06:00:00Z,45000,45360,44820,45080,39897.90215911884,0,68481,106152.55
2019-04-03T06:00:00Z,45480,45700,44960,45190,39950.55984907786,0,74090,106581.05
2019-04-04T06:00:00Z,45370,45410,44730,44730,39998.11646749499,0,122866,109382.7
2019-04-07T06:00:00Z,44300,44300,43900,44120,40039.13023398758,0,32444,96522.55
2019-04-08T06:00:00Z,44100,44280,43420,43900,40077.54684857476,0,64244,98241.9
2019-04-10T06:00:00Z,44540,44880,44410,44570,40122.2478749571,0,82986,89940.4
2019-04-11T06:00:00Z,45090,45120,44620,44770,40168.49416475852,0,80622,87498.45
2019-04-14T06:00:00Z,45000,45480,44500,45130,40217.86238202461,0,33099,84805.05
2019-04-15T06:00:00Z,45280,45350,45050,45160,40267.03788071093,0,95575,81803.55
2019-04-16T06:00:00Z,45350,45900,45220,45800,40322.092230156595,0,115844,86599.7
2019-04-17T06:00:00Z,45890,46300,45710,46230,40380.877382095336,0,102318,86145.7
2019-04-18T06:00:00Z,47120,47760,47000,47210,40448.82885093021,0,139162,88463.4
2019-04-21T06:00:00Z,48000,48160,47500,47700,40520.97980763737,0,32390,82300.85
2019-04-22T06:00:00Z,47850,47940,47330,47650,40591.91533193948,0,36545,83101.45
2019-04-23T06:00:00Z,49340,49460,49110,49170,40677.26940823859,0,57728,81457.45
2019-04-24T06:00:00Z,49940,49950,49620,49830,40768.341354425276,0,133946,84514.15
2019-04-28T06:00:00Z,49830,49970,49220,49600,40856.21855487875,0,67183,84807.9
2019-04-29T06:00:00Z,49550,50100,49380,50100,40948.19647970583,0,90807,81113.8
2019-04-30T06:00:00Z,50100,50200,49540,49640,41034.68208687294,0,190559,89023.45
2019-05-01T06:00:00Z,49720,49750,48910,49070,41114.635498943855,0,97927,85940.8
2019-05-02T06:00:00Z,48440,48520,48010,48020,41183.345593481725,0,379459,101489.7
2019-05-05T06:00:00Z,48400,48400,47740,48050,41251.67051294957,0,28258,99198.1
2019-05-06T06:00:00Z,47050,47920,47040,47540,41314.24095560679,0,95540,97831.8
2019-05-07T06:00:00Z,47810,47850,47410,47610,41376.88532420772,0,92032,100811.2
2019-05-12T06:00:00Z,47980,48040,47720,47720,41440.000893121076,0,34132,99305.6
2019-05-13T06:00:00Z,47600,47640,46600,46600,41491.34416781639,0,117153,101013.95
2019-05-14T06:00:00Z,46990,47250,46770,47080,41546.95268355951,0,77892,100877.45
2019-05-15T06:00:00Z,47080,47830,46740,47200,41603.20191058877,0,112496,104847.3
2019-05-16T06:00:00Z,47560,50700,47210,50410,41690.831742324204,0,134629,106800
2019-05-19T06:00:00Z,51170,51680,51170,51550,41788.9329190175,0,31775,102596.55
2019-05-20T06:00:00Z,51580,51690,50330,50860,41879.192292957625,0,139698,104465.55
2019-05-21T06:00:00Z,50940,50970,48670,49990,41959.896847256554,0,230407,109027.8
2019-05-22T06:00:00Z,50350,51400,49690,51400,42053.82822191072,0,149440,114880.3
2019-05-23T06:00:00Z,51000,51000,49800,50530,42138.168239603154,0,138250,119965.55
2019-05-26T06:00:00Z,50000,50090,49200,49350,42209.927759607104,0,83247,121241.5
2019-05-27T06:00:00Z,49300,49470,48900,49040,42277.88867742196,0,116819,120385.15
2019-05-28T06:00:00Z,49040,49840,48830,49770,42352.4370487909,0,282591,131155.55
2019-05-29T06:00:00Z,49770,49890,49230,49780,42426.3431478079,0,132265,133228.45
2019-05-30T06:00:00Z,49640,50370,49410,50280,42504.4889871332,0,182269,132813.95
2019-06-02T06:00:00Z,50500,50590,50240,50550,42584.543823082124,0,59942,130914.7
2019-06-03T06:00:00Z,50320,50550,50050,50280,42661.11552633504,0,175526,120718.05
2019-06-04T06:00:00Z,49500,49550,48780,49420,42728.36810816255,0,154643,127037.3
2019-06-05T06:00:00Z,49340,49690,48920,49660,42797.33956977287,0,135156,129018.1
2019-06-06T06:00:00Z,49510,49610,49020,49100,42860.05260887961,0,422486,145540.8
2019-06-10T06:00:00Z,49930,50140,49580,49720,42928.31079187583,0,101038,148886.1
2019-06-11T06:00:00Z,49300,49850,49130,49450,42993.20322180742,0,74965,146776.7
2019-06-12T06:00:00Z,49020,49660,48570,49620,43059.14149820734,0,68638,146314
2019-06-13T06:00:00Z,49990,50600,49900,50600,43134.17491613563,0,101063,145742.35
2019-06-16T06:00:00Z,50000,50100,49450,49740,43199.904518960146,0,27046,140363.2
2019-06-17T06:00:00Z,49740,49820,49380,49600,43263.58706106005,0,96235,143586.2
2019-06-18T06:00:00Z,49600,49920,47500,49690,43327.531468412686,0,68615,140032.05
2019-06-19T06:00:00Z,49680,49970,49500,49650,43390.44160305535,0,65733,131798.35
2019-06-20T06:00:00Z,49970,50400,49720,49720,43453.42228362196,0,152283,131940.5
2019-06-23T06:00:00Z,50320,50320,49700,49700,43515.577285774976,0,32461,126651.05
2019-06-24T06:00:00Z,49850,50080,49580,50020,43580.29790979712,0,75449,126261.15
2019-06-25T06:00:00Z,50020,50200,49620,49620,43640.39444800809,0,87575,124798.95
2019-06-26T06:00:00Z,49650,49800,49050,49110,43694.818383848804,0,130796,117209.2
2019-06-27T06:00:00Z,48710,48910,48150,48510,43742.730638735884,0,198193,120505.6
2019-06-30T06:00:00Z,49030,49550,48980,49460,43799.61889108677,0,30527,112918.5
2019-07-01T06:00:00Z,50000,50000,49220,49220,43853.553031473966,0,84240,114133.4
2019-07-02T06:00:00Z,50080,50140,49690,49900,43913.716682902086,0,81154,109414.8
2019-07-03T06:00:00Z,50500,50700,50230,50450,43978.754327848335,0,88019,106083.6
2019-07-04T06:00:00Z,50450,50760,50450,50680,44045.43338926278,0,88394,103745.5
2019-07-07T06:00:00Z,51010,51050,50890,51040,44115.03106698155,0,26551,83948.75
2019-07-08T06:00:00Z,51000,51190,50630,51190,44185.42876780761,0,120395,84916.6
2019-07-09T06:00:00Z,51060,51790,51020,51650,44259.70310842644,0,79644,85150.55
2019-07-10T06:00:00Z,51680,51840,51510,51740,44334.13392326797,0,110730,87255.15
2019-07-11T06:00:00Z,51500,51630,51300,51460,44405.038063334956,0,47706,84587.3
2019-07-14T06:00:00Z,52270,52570,52150,52570,44486.28146568983,0,13686,83919.3
2019-07-15T06:00:00Z,52590,54450,52110,52980,44570.79607797153,0,84780,83346.55
2019-07-16T06:00:00Z,52700,52940,51520,51640,44641.13641550415,0,62002,83015.9
2019-07-17T06:00:00Z,51640,52350,51640,52070,44715.0554561459,0,46461,82052.3
2019-07-18T06:00:00Z,52070,52360,51920,52350,44791.025053597186,0,96321,79254.2
2019-07-21T06:00:00Z,52630,52780,52320,52600,44868.72629684497,0,20827,78672.5
2019-07-22T06:00:00Z,52600,52890,52030,52240,44942.07230384154,0,73483,78574.2
2019-07-23T06:00:00Z,52100,52440,51550,52440,45016.678549574455,0,66790,77534.95
2019-07-24T06:00:00Z,52440,52690,51710,52640,45092.53249435481,0,79208,74955.55
2019-07-25T06:00:00Z,53280,53280,52530,52540,45166.63664863984,0,126795,71385.65
2019-07-28T06:00:00Z,53450,53520,53120,53300,45247.56563721059,0,17409,70729.75
2019-07-29T06:00:00Z,53150,54090,52660,52850,45323.21175027317,0,65267,69781.1
2019-07-30T06:00:00Z,52850,53000,51950,53000,45399.59770300677,0,64450,68945.9
2019-07-31T06:00:00Z,53000,53890,52940,53890,45484.07931790223,0,61849,67637.4
2019-08-01T06:00:00Z,53890,54730,53460,54050,45569.31235951514,0,130866,69761
2019-08-04T06:00:00Z,53240,53370,53150,53350,45646.732137032406,0,33390,70102.95
2019-08-05T06:00:00Z,53000,53000,51750,52000,45709.94873268383,0,114302,69798.3
2019-08-06T06:00:00Z,52400,52790,52100,52480,45777.312426885976,0,91273,70379.75
2019-08-07T06:00:00Z,52550,53120,52000,52490,45844.10533806124,0,53585,67522.5
2019-08-08T06:00:00Z,53120,54400,52860,53120,45916.50229987158,0,138846,72079.5
2019-08-12T06:00:00Z,53500,53980,52510,52990,45986.8853615644,0,61565,74473.45
2019-08-13T06:00:00Z,52360,53310,52330,53180,46058.45864154883,0,71497,73809.3
2019-08-14T06:00:00Z,53180,53870,52090,52670,46124.24512272745,0,71058,74262.1
2019-08-15T06:00:00Z,52780,53780,52150,53650,46199.12825583464,0,95632,76720.65
