time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-02-11T07:00:00Z,29020,29090,28750,28950,25026.756141803773,0,33759,53323.45
2020-02-12T07:00:00Z,29050,29050,28530,28540,25061.713792134084,0,42856,52939.35
2020-02-13T07:00:00Z,29070,29130,28800,29050,25101.398232013347,0,56472,52293.1
2020-02-16T07:00:00Z,29420,29460,29310,29370,25143.87188144605,0,17194,51885.95
2020-02-17T07:00:00Z,29520,29670,29260,29440,25186.61942491425,0,34007,52207.5
2020-02-18T07:00:00Z,29250,29540,29200,29520,25229.73763959172,0,14732,51436.45
2020-02-19T07:00:00Z,29520,29840,29220,29780,25275.013881983843,0,22800,51607.5
2020-02-20T07:00:00Z,29530,29640,29290,29490,25316.954042362115,0,37098,50428.05
2020-02-23T07:00:00Z,29230,29430,28960,29140,25354.994300647068,0,22278,50483.2
2020-02-24T07:00:00Z,28910,29000,28280,28320,25384.496844919235,0,59001,51315.25
2020-02-25T07:00:00Z,28700,28870,28280,28300,25413.50682656183,0,33033,51444
2020-02-26T07:00:00Z,26450,27050,24470,24500,25404.417206397033,0,198374,59653.2
2020-02-27T07:00:00Z,24730,25010,24370,24590,25396.313552602038,0,339886,70356.3
2020-03-01T07:00:00Z,24300,24300,23620,24080,25383.215905312467,0,58616,70910.1
2020-03-03T07:00:00Z,24850,25610,24770,25050,25379.90032416508,0,88999,72109.5
2020-03-04T07:00:00Z,24420,25290,24210,24840,25374.528181636073,0,59961,72771.1
2020-03-05T07:00:00Z,25100,25190,24660,24940,25370.204518137205,0,293095,83771.1
2020-03-08T07:00:00Z,24760,24890,24000,24280,25359.356711986587,0,121164,78849.3
2020-03-09T07:00:00Z,23300,23780,21680,23160,25337.472565598662,0,177219,86967.55
2020-03-11T07:00:00Z,23000,23410,22430,22520,25309.438012707134,0,113808,91217.6
2020-03-12T07:00:00Z,21400,21790,20200,21330,25269.841614570745,0,172827,98171
2020-03-15T07:00:00Z,22990,23380,22710,23360,25250.838215420787,0,62827,99169.55
2020-03-16T07:00:00Z,22500,23360,21900,23360,25232.023904819584,0,101435,101417.7
2020-03-17T07:00:00Z,23790,24960,22900,23360,25213.39680128904,0,96654,105390.7
2020-03-18T07:00:00Z,25400,25910,24200,24200,25203.31325102746,0,101197,108750.2
2020-03-19T07:00:00Z,24500,25380,23930,24640,25197.70814405206,0,90900,112558.6
2020-03-22T07:00:00Z,23040,23820,23040,23820,25183.999605305275,0,37591,113298.15
2020-03-23T07:00:00Z,23260,25460,23260,23900,25171.2234898296,0,63181,114602.3
2020-03-24T07:00:00Z,24000,25430,24000,25350,25173.002360577564,0,58710,116423.9
2020-03-25T07:00:00Z,26300,26300,24510,24740,25168.693879377788,0,91464,118047.05
2020-03-26T07:00:00Z,24490,24600,23810,24050,25157.56259699592,0,241831,128486.95
