time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-04-05T06:00:00Z,9017,9173,8960,9095,10175.98033386831,0,35878,269098.35
2020-04-06T06:00:00Z,9250,9282,9158,9260,10166.866101690517,0,132441,264878.15
2020-04-07T06:00:00Z,9333,9340,9045,9091,10156.160966350313,0,231242,259445.6
2020-04-12T06:00:00Z,9091,9137,9001,9001,10144.666827381654,0,79319,248360.2
2020-04-13T06:00:00Z,8990,9101,8891,9101,10134.282082830592,0,135151,237331.55
2020-04-16T06:00:00Z,9270,9575,9200,9238,10125.363853150686,0,734647,265573.85
2020-04-19T06:00:00Z,9238,9720,9238,9720,10121.330381975056,0,159910,267389.6
2020-04-20T06:00:00Z,9860,9860,9470,9620,10116.342019965354,0,183463,261770.4
2020-04-21T06:00:00Z,9620,9839,9585,9801,10113.20428842341,0,164082,263508.55
2020-04-22T06:00:00Z,9899,10120,9898,10000,10112.077877593327,0,129431,261083.8
2020-04-23T06:00:00Z,10100,10270,10040,10190,10112.853222094885,0,386083,276643.45
2020-04-26T06:00:00Z,10300,10380,10100,10300,10114.715379088966,0,58419,268890.7
2020-04-27T06:00:00Z,10390,10560,10080,10190,10115.46447979455,0,114383,265199.75
2020-04-30T06:00:00Z,10290,10300,9840,9880,10113.12154964734,0,193395,256796.1
2020-05-03T06:00:00Z,9785,9940,9754,9932,10111.319345173237,0,42305,210070.05
2020-05-04T06:00:00Z,9980,9980,9834,9900,10109.216665121761,0,65865,210020.7
2020-05-05T06:00:00Z,10000,10030,9853,9909,10107.224459498659,0,60672,204868.45
2020-05-06T06:00:00Z,9840,9949,9799,9821,10104.376454926532,0,61365,194953.15
2020-05-07T06:00:00Z,9788,9950,9780,9888,10102.223455375024,0,151272,181724.9
2020-05-10T06:00:00Z,10000,10140,9938,10140,10102.599341391193,0,43715,158151.9
2020-05-11T06:00:00Z,10140,10140,9968,10090,10102.473974810186,0,48899,158802.95
2020-05-12T06:00:00Z,9968,10210,9968,10210,10103.543885508592,0,47225,154542.15
2020-05-13T06:00:00Z,10150,10300,10150,10200,10104.50364784184,0,98071,147883.6
2020-05-14T06:00:00Z,10160,10380,10070,10190,10105.354357813563,0,139118,150873.55
2020-05-17T06:00:00Z,10310,10380,10190,10230,10106.594612959698,0,36300,145931
2020-05-18T06:00:00Z,10340,10400,10080,10230,10107.822527258606,0,74318,112914.55
2020-05-19T06:00:00Z,10230,10290,10040,10200,10108.739716042102,0,82887,109063.4
2020-05-20T06:00:00Z,10090,10300,10090,10280,10110.443798469543,0,61968,102988.65
2020-05-21T06:00:00Z,10190,10190,9936,10040,10109.742865151438,0,101881,99878.6
2020-05-24T06:00:00Z,10050,10110,9911,9945,10108.103632662369,0,39978,95405.95
2020-05-25T06:00:00Z,9945,10020,9800,10020,10107.226979601051,0,159069,84055.25
2020-05-26T06:00:00Z,10030,10100,9871,9896,10105.125218609995,0,143146,88291.6
2020-05-27T06:00:00Z,9810,9910,9769,9801,10102.099097031787,0,268723,96008.6
2020-05-31T06:00:00Z,9800,9830,9501,9501,10096.118011489183,0,49454,88811.55
2020-06-01T06:00:00Z,9499,9698,9450,9687,10092.047185504216,0,68970,90144.8
2020-06-02T06:00:00Z,9600,9728,9502,9576,10086.912387638502,0,86343,91168.7
2020-06-03T06:00:00Z,9645,9645,9331,9380,10079.878433532645,0,74835,91876.85
2020-06-04T06:00:00Z,9302,9410,9176,9230,10071.42193170645,0,231589,100388.05
2020-06-08T06:00:00Z,9220,9332,9205,9250,10063.248579152158,0,230438,104346.35
2020-06-09T06:00:00Z,9232,9379,9210,9365,10056.300832095918,0,138558,109088.5
2020-06-10T06:00:00Z,9390,9735,9390,9701,10052.765500433272,0,77114,110499.25
2020-06-11T06:00:00Z,9701,9789,9677,9780,10050.051415851847,0,115100,113893
2020-06-14T06:00:00Z,9690,10030,9690,9990,10049.453889325958,0,51272,111553.05
2020-06-15T06:00:00Z,9755,10080,9620,9988,10048.842407840128,0,96624,109428.35
2020-06-16T06:00:00Z,9988,10260,9970,10260,10050.943478408883,0,146440,114935.35
2020-06-17T06:00:00Z,10260,10270,10070,10230,10052.725135340137,0,105675,116503.2
2020-06-18T06:00:00Z,10180,10320,10140,10290,10055.086079267101,0,127580,118737.85
2020-06-21T06:00:00Z,10190,10210,9732,10210,10056.627511314195,0,82082,119743.55
2020-06-22T06:00:00Z,10190,10330,10140,10330,10059.347635579725,0,140150,121657
2020-06-23T06:00:00Z,10290,10400,10050,10220,10060.946166568981,0,67588,123037.5
2020-06-24T06:00:00Z,10250,10310,9805,9805,10058.39943854342,0,90400,119604.05
2020-06-25T06:00:00Z,9788,9899,9690,9759,10055.42033965244,0,158447,120369.1
2020-06-28T06:00:00Z,9759,9759,9501,9560,10050.49078403401,0,34735,108669.7
2020-06-29T06:00:00Z,9538,9638,9401,9401,10044.028189167999,0,104317,111412.85
2020-06-30T06:00:00Z,9401,9690,9401,9593,10039.54034648971,0,101544,113041.55
2020-07-01T06:00:00Z,9500,9579,9383,9579,10034.957855479863,0,88313,113140.05
2020-07-02T06:00:00Z,9626,10120,9600,10050,10035.107528559665,0,114848,115140.7
2020-07-05T06:00:00Z,9781,9970,9600,9600,10030.778100414793,0,30828,105102.65
2020-07-06T06:00:00Z,9600,9730,9475,9622,10026.710656629572,0,67684,96964.95
2020-07-07T06:00:00Z,9622,9800,9610,9747,10023.927466016343,0,63369,93205.5
2020-07-08T06:00:00Z,9650,9835,9650,9735,10021.052565856977,0,118493,95274.45
2020-07-09T06:00:00Z,9786,9890,9735,9770,10018.554530375814,0,68652,92952.05
2020-07-12T06:00:00Z,9774,9774,9610,9638,10014.767918133268,0,33996,92088.25
2020-07-13T06:00:00Z,9638,9760,9605,9652,10011.158287107066,0,57295,90121.8
2020-07-14T06:00:00Z,9652,9771,9580,9743,10008.490045444309,0,54784,85539
2020-07-15T06:00:00Z,9800,9998,9744,9800,10006.415517628942,0,73967,83953.6
2020-07-16T06:00:00Z,9800,9895,9760,9895,10005.306905513231,0,67274,80938.3
2020-07-19T06:00:00Z,9990,9990,9750,9818,10003.443155209618,0,31198,78394.1
2020-07-20T06:00:00Z,9725,9874,9720,9810,10001.518347695093,0,86909,75732.05
2020-07-21T06:00:00Z,9810,9880,9654,9678,9998.299259658326,0,242347,84470
2020-07-22T06:00:00Z,9654,9729,9540,9662,9994.952998368193,0,126764,86288.2
2020-07-23T06:00:00Z,9739,9739,9379,9400,9989.033068036171,0,113990,84065.35
2020-07-26T06:00:00Z,9340,9466,9333,9376,9982.933236513423,0,29392,83798.2
2020-07-27T06:00:00Z,9400,9484,9311,9326,9976.396587393887,0,78599,82512.3
2020-07-28T06:00:00Z,9326,9500,9280,9500,9971.656322842704,0,59537,80411.95
2020-07-29T06:00:00Z,9600,9662,9501,9651,9968.465712665165,0,187262,85359.4
2020-08-02T06:00:00Z,9700,9718,9500,9592,9964.71978517596,0,24006,80817.3
2020-08-03T06:00:00Z,9489,9627,9489,9612,9961.210135572219,0,66894,82620.6
2020-08-04T06:00:00Z,9612,9624,9532,9597,9957.58615412374,0,69731,82722.95
2020-08-05T06:00:00Z,9507,9800,9507,9800,9956.018132689673,0,116034,85356.2
2020-08-06T06:00:00Z,9762,10000,9611,10000,9956.455763210173,0,293076,94085.35
2020-08-09T06:00:00Z,10000,10000,9820,9850,9955.3965018847,0,38966,92601.05
2020-08-10T06:00:00Z,9900,9971,9780,9971,9955.551760572414,0,110673,96434.9
2020-08-11T06:00:00Z,9950,10080,9927,10010,9956.093534099056,0,38997,95520
2020-08-12T06:00:00Z,10010,10010,9797,9879,9955.326434257275,0,47605,95161.05
2020-08-13T06:00:00Z,9952,9970,9707,9897,9954.746071727352,0,167155,99820.45
2020-08-16T06:00:00Z,10030,10060,9929,10060,9955.793374496234,0,18495,97381.5
2020-08-17T06:00:00Z,10060,10060,9900,9913,9955.367569774879,0,26600,97151.6
2020-08-18T06:00:00Z,9900,9910,9786,9900,9954.816648682592,0,82483,96930.3
2020-08-19T06:00:00Z,9903,9959,9742,9799,9953.26623426784,0,107269,90176.4
2020-08-20T06:00:00Z,9745,9798,9679,9773,9951.472540394529,0,66257,87151.05
2020-08-23T06:00:00Z,9800,10050,9774,10050,9952.452913126921,0,26061,82754.6
2020-08-24T06:00:00Z,10050,10050,9858,9950,9952.42850603113,0,56278,84098.9
2020-08-25T06:00:00Z,9913,9930,9808,9924,9952.145635324354,0,51669,82752.4
2020-08-26T06:00:00Z,9924,9983,9827,9983,9952.45264392809,0,91021,84326.6
2020-08-27T06:00:00Z,10000,10000,9750,9879,9951.721771849205,0,164452,83186.1
2020-08-30T06:00:00Z,9876,9882,9670,9735,9949.565336308417,0,25198,83245.7
2020-08-31T06:00:00Z,9735,9911,9691,9800,9948.07712400684,0,90495,84425.75
2020-09-01T06:00:00Z,9800,9887,9650,9820,9946.80272476299,0,81705,85024.45
2020-09-02T06:00:00Z,9820,9827,9702,9750,9944.844488695697,0,48874,81666.45
2020-09-03T06:00:00Z,9601,9729,9432,9627,9941.681856967381,0,283316,81178.45
2020-09-06T06:00:00Z,9415,9790,9405,9790,9940.172584758751,0,108237,84642
2020-09-07T06:00:00Z,9790,9839,9665,9839,9939.165892373092,0,35664,80891.55
2020-09-08T06:00:00Z,9836,9889,9725,9860,9938.378172050972,0,79503,82916.85
2020-09-09T06:00:00Z,9857,9983,9812,9960,9938.593314617628,0,97753,85424.25
2020-09-10T06:00:00Z,9903,9962,9702,9890,9938.109799049294,0,112478,82690.4
2020-09-13T06:00:00Z,9809,9888,9720,9888,9937.611194083629,0,31518,83341.55
2020-09-14T06:00:00Z,9900,10000,9800,10000,9938.2319782221,0,79518,85987.45
2020-09-15T06:00:00Z,9997,10120,9851,10120,9940.040615254717,0,114621,87594.35
2020-09-16T06:00:00Z,10100,10100,9912,10010,9940.736728535765,0,74233,85942.55
2020-09-17T06:00:00Z,9984,10010,9702,9945,9940.779149147349,0,178213,91540.35
2020-09-21T06:00:00Z,9790,9897,9753,9850,9939.875874031455,0,94213,94947.95
2020-09-22T06:00:00Z,9779,9872,9722,9790,9938.384571802286,0,96025,96935.3
2020-09-23T06:00:00Z,9725,9734,9590,9640,9935.415571087835,0,176829,103193.3
2020-09-24T06:00:00Z,9650,9650,9503,9590,9931.97860023124,0,239462,110615.35
2020-09-29T06:00:00Z,9552,9718,9453,9718,9929.84945993043,0,123147,108550.1
2020-09-30T06:00:00Z,9625,9840,9590,9838,9928.935534955997,0,84126,111496.5
2020-10-01T06:00:00Z,9893,9893,9753,9800,9927.65259430967,0,127153,113329.4
2020-10-04T06:00:00Z,9771,9865,9771,9865,9927.029185411066,0,19193,110203.8
2020-10-05T06:00:00Z,9898,9950,9801,9930,9927.058745755234,0,34724,109496.3
2020-10-06T06:00:00Z,9908,9955,9801,9830,9926.092987091002,0,77449,99202.95
2020-10-07T06:00:00Z,9831,9867,9691,9691,9923.753753388604,0,59637,96772.95
2020-10-08T06:00:00Z,9739,9770,9687,9770,9922.223865295186,0,78680,98923.75
2020-10-11T06:00:00Z,9826,9850,9660,9728,9920.291289521105,0,32827,96589.95
2020-10-12T06:00:00Z,9660,9720,9610,9645,9917.55207270995,0,55423,94473.45
