time,open,high,low,close,EMA,bullish,Volume,Volume MA
2020-02-11T07:00:00Z,8015,8110,7949,8110,7441.788702631605,0,127612,212569.75
2020-02-12T07:00:00Z,8110,8320,8110,8311,7450.437571262136,0,108578,209217.25
2020-02-13T07:00:00Z,8411,8411,8200,8346,7459.348640204801,0,212289,210423.25
2020-02-16T07:00:00Z,8271,8329,8186,8195,7466.668554232614,0,55763,210233.9
2020-02-17T07:00:00Z,8276,8329,8231,8280,7474.761404439255,0,88121,210764.6
2020-02-18T07:00:00Z,8200,8200,7477,7600,7476.007559618964,0,797152,245626.3
2020-02-19T07:00:00Z,7520,7600,7453,7550,7476.7438028068345,0,337596,258778.05
2020-02-20T07:00:00Z,7604,7604,7330,7503,7477.005058500299,0,314837,266275.55
2020-02-23T07:00:00Z,7250,7256,7102,7130,7473.5522718485545,0,115033,269711.65
2020-02-24T07:00:00Z,6990,7020,6766,6941,7468.253244267972,0,373673,273509.3
2020-02-25T07:00:00Z,6940,7014,6843,6882,7462.419878653365,0,170380,274174.2
2020-02-26T07:00:00Z,6800,7083,6711,7010,7457.918188318506,0,248246,279538.15
2020-02-27T07:00:00Z,7000,7000,6718,6718,7450.555818285486,0,456545,273076.2
2020-03-01T07:00:00Z,6940,6968,6796,6927,7445.346307655779,0,231610,273267.35
2020-03-03T07:00:00Z,7070,7138,6785,6898,7439.900075738806,0,284397,268319.2
2020-03-04T07:00:00Z,6855,6919,6727,6815,7433.682164537425,0,198511,266601.95
2020-03-05T07:00:00Z,6815,6825,6644,6750,7426.879356930087,0,438690,271517.3
2020-03-08T07:00:00Z,6480,6515,6405,6460,7417.25866681138,0,370550,257172.75
2020-03-09T07:00:00Z,6052,6137,5687,5990,7403.057088037137,0,520044,277398.8
2020-03-11T07:00:00Z,5990,6235,5864,5946,7388.559007559155,0,412892,293125.95
2020-03-12T07:00:00Z,5493,5496,5244,5408,7368.851952757572,0,706180,322054.35
2020-03-15T07:00:00Z,5300,5397,5101,5275,7348.017604968939,0,197892,326520.05
2020-03-16T07:00:00Z,4950,5513,4808,5275,7327.390564123477,0,492354,340523.3
2020-03-17T07:00:00Z,5380,5510,5259,5510,7309.307075923243,0,425105,358990.4
2020-03-18T07:00:00Z,5510,5526,5016,5100,7287.323920938932,0,363690,372768.85
2020-03-19T07:00:00Z,5144,5357,4997,5250,7267.052041128594,0,335557,349689.1
2020-03-22T07:00:00Z,4988,5096,4942,5070,7245.190826789007,0,132440,339431.3
2020-03-23T07:00:00Z,4910,5555,4908,5136,7224.203853388121,0,276766,337527.75
2020-03-24T07:00:00Z,5500,5676,5361,5509,7207.137148379285,0,310704,347311.3
2020-03-25T07:00:00Z,5640,5713,5280,5593,7191.076082226256,0,304615,343858.4
2020-03-26T07:00:00Z,5599,5756,5473,5709,7176.329056532463,0,968380,383758.4
2020-03-29T06:00:00Z,5600,5748,5505,5663,7161.271055969951,0,71690,374930.6
2020-03-30T06:00:00Z,5700,5719,5482,5519,7144.930050437912,0,401543,372180.5
2020-03-31T06:00:00Z,5539,5701,5321,5700,7130.552637000718,0,564658,388832.9
2020-04-01T06:00:00Z,5600,5644,5505,5529,7114.6167898663825,0,266437,387934.9
2020-04-02T06:00:00Z,5747,5747,5495,5651,7100.053438723434,0,556295,405824.1
2020-04-05T06:00:00Z,5651,5666,5551,5570,7084.829026397828,0,35490,385664.1
2020-04-06T06:00:00Z,5770,6005,5770,6005,7074.084458970984,0,184082,376340.7
2020-04-07T06:00:00Z,6167,6319,6067,6203,7065.416951916546,0,284091,364543.05
2020-04-12T06:00:00Z,6203,6243,6100,6100,7055.810813091506,0,108452,349321.05
2020-04-13T06:00:00Z,6040,6117,6037,6100,7046.300257737362,0,126096,320316.85
2020-04-16T06:00:00Z,6460,6548,6390,6470,7040.565926814602,0,426272,331735.85
2020-04-19T06:00:00Z,6430,6441,6353,6438,7034.570245950775,0,189906,316613.45
2020-04-20T06:00:00Z,6440,6446,6339,6379,7028.047158926389,0,179249,304320.65
2020-04-21T06:00:00Z,6366,6419,6196,6200,7019.807883713191,0,158551,294063.7
2020-04-22T06:00:00Z,6120,6249,6082,6089,7010.5461137259945,0,226593,288615.5
2020-04-23T06:00:00Z,6182,6490,6175,6313,7003.605356375487,0,698825,316934.75
2020-04-26T06:00:00Z,6450,6530,6400,6515,6998.74361153593,0,139461,310069.5
2020-04-27T06:00:00Z,6580,6627,6511,6617,6994.9451676400495,0,160781,302573.35
2020-04-30T06:00:00Z,6940,6945,6796,6834,6993.34372318592,0,301165,302400.85
2020-05-03T06:00:00Z,6450,6538,6450,6489,6988.325377681582,0,121979,260080.8
2020-05-04T06:00:00Z,6489,6586,6388,6540,6983.864428649924,0,208299,266911.25
2020-05-05T06:00:00Z,6577,6800,6573,6779,6981.825976623556,0,205302,257099.2
2020-05-06T06:00:00Z,6713,6773,6632,6663,6978.653578846207,0,148127,236272.65
2020-05-07T06:00:00Z,6666,6747,6641,6701,6975.890856668633,0,291089,237505.25
2020-05-10T06:00:00Z,6990,7050,6990,7048,6976.608360582378,0,121757,215778.35
2020-05-11T06:00:00Z,7034,7260,7005,7100,6977.836138089021,0,205029,224255.3
2020-05-12T06:00:00Z,7095,7348,7052,7142,6979.469609351817,0,288816,229492
2020-05-13T06:00:00Z,7080,7775,6816,7050,6980.171404283639,0,639440,247259.45
2020-05-14T06:00:00Z,6980,7130,6725,6800,6978.378653992259,0,438968,263785.25
2020-05-17T06:00:00Z,6800,6809,6728,6780,6976.404737037113,0,139743,264467.6
2020-05-18T06:00:00Z,6880,7018,6838,7018,6976.818620250674,0,248782,255593.1
2020-05-19T06:00:00Z,7075,7157,6926,7142,6978.462216069075,0,148024,253499
2020-05-20T06:00:00Z,7071,7199,6995,7199,6980.656621879333,0,188037,253938.4
2020-05-21T06:00:00Z,7199,7226,7100,7155,6982.391381860633,0,198953,255958.5
2020-05-24T06:00:00Z,7084,7090,7000,7086,6983.422313384408,0,110035,250130.6
2020-05-25T06:00:00Z,7086,7147,7040,7147,6985.0499520572,0,87426,219560.65
2020-05-26T06:00:00Z,7168,7294,7111,7252,6987.706171439716,0,253451,225260.15
2020-05-27T06:00:00Z,7305,7340,7130,7209,6989.908100082107,0,659539,250198.05
2020-05-31T06:00:00Z,7120,7120,6901,6905,6989.0632433648725,0,104219,240350.75
2020-06-01T06:00:00Z,6965,7058,6902,7016,6989.331270794078,0,219529,245228.25
2020-06-02T06:00:00Z,6930,6969,6839,6966,6989.0991188458775,0,160734,242850
